Item_ID,Category,System_or_Location,Controlled_Item,Part_Number_or_Spec,Minimum_Spare_Qty,Inspection_Trigger,Inspection_Method,Replacement_Criteria,Field_Repair_Allowed,Required_Retest,State,Evidence,Owner,Notes
HSM-001,SPARE,X70,Two-Step relay,TBD,2,Pre-event/relay fault,Visual/function/resistance as applicable,Damage heat fault or inconsistent operation,YES,TS truth-table checks,OPEN,TBD,Race Crew,Must match released relay/contact configuration
HSM-002,SPARE,X70,Relay socket terminals/seals,TBD,TBD,Repair event,Visual/crimp inspection,Damage corrosion loss of retention,YES,Continuity isolation A21 test,OPEN,TBD,Maintenance,Preserve dry-contact isolation
HSM-003,SPARE,PROTECTION,Released fuses/protection devices,TBD,TBD,Pre-event/after operation,Visual/rating verification,Operated damaged or incorrect rating,YES,Circuit function/root-cause review,OPEN,TBD,Race Crew,Never uprate protection to stop nuisance trips
HSM-004,SPARE,CONNECTORS,Approved connector housings,TBD,TBD,Connector damage,Visual/fit/lock inspection,Crack heat damage seal failure,YES,Continuity/isolation/function,OPEN,TBD,Maintenance,Exact family or approved substitution
HSM-005,SPARE,CONNECTORS,Terminals and wire seals,TBD,TBD,Connector repair,Crimp/seal inspection,Damage corrosion retention failure,YES,Pull/continuity/isolation as applicable,OPEN,TBD,Maintenance,Match conductor size
HSM-006,SPARE,WIRING,4.0mm2 pump wire,Released spec,TBD,Pump circuit repair,Visual/spec verification,Damage heat or conductor loss,YES,Continuity voltage-drop/current test,OPEN,TBD,Maintenance,Pump 1/2 feeds and dedicated returns remain >=4.0mm2
HSM-007,SPARE,CAN,CAN twisted-pair repair wire,Released spec,TBD,CAN harness repair,Visual/spec verification,Damage or communication fault,YES,CAN polarity/termination/error test,OPEN,TBD,Maintenance,Preserve twist and topology
HSM-008,SPARE,TRIGGER,CKP/CAM approved repair material,Released spec,TBD,Trigger circuit repair,Visual/spec verification,Damage or trigger fault,CONDITIONAL,Continuity polarity sync/trigger test,OPEN,TBD,Maintenance,Avoid unnecessary splice
HSM-009,SPARE,CLUTCH,Clutch-switch repair components,TBD,TBD,Input fault,Visual/function test,Damage inconsistent state or chatter,YES,TS1/TS2 truth table,OPEN,TBD,Maintenance,Fail state must not create uncontrolled launch request
HSM-010,INSPECTION,B15/J-P01/J-P02,Primary power/ground junctions,Released construction,NA,Pre-event/after protection event,Visual torque/security/thermal evidence,Heat looseness corrosion or voltage drop,CONDITIONAL,Voltage drop/function,OPEN,TBD,Race Crew,Torque values only from verified hardware source
HSM-011,INSPECTION,PUMP1/PUMP2,High-current connectors,Released construction,NA,Pre-event/post-run/overcurrent,Visual/thermal/current trend,Heat discolouration looseness abnormal current,CONDITIONAL,Current voltage-drop fuel-pressure test,OPEN,TBD,Race Crew,Treat progressive heating as blocker
HSM-012,INSPECTION,B39/B40,Injector/ignition supply paths,Released construction,NA,Post-run/electrical fault,Visual/thermal/PMU evidence,Heat trip or voltage instability,CONDITIONAL,Electrical/load validation,OPEN,TBD,Maintenance,Preserve segregation
HSM-013,INSPECTION,TURBO_AREA,Harness thermal protection,Released sleeve/barrier,NA,Every event/after abnormal heat,Visual/tactile inspection,Chafe hardening melt discolouration exposure,YES,Continuity/isolation/function,OPEN,TBD,Race Crew,Replace compromised protection before race use
HSM-014,INSPECTION,CAN/X51,Service/CAN connectors,Released construction,NA,Pre-event/diagnostic issue,Visual/cap/communication check,Damage contamination communication fault,YES,CAN validation,OPEN,TBD,Maintenance,No hidden termination changes
HSM-015,INSPECTION,CONFIG,Active race configuration,Current release ID/hash,NA,Pre-event/after tuning,Manifest/hash comparison,Mismatch or unrecorded change,NO,Configuration review/regression as required,OPEN,TBD,Tuner,Do not race unknown configuration
