Envelope_ID,Race_Release,Parameter,Released_Value,Units,Source_or_Evidence,State,Approved_By,Date,Notes
FROE-001,TVR-FT550-RACE-R01,Maximum Engine RPM,TBD,rpm,TBD,OPEN,TBD,TBD,TBD
FROE-002,TVR-FT550-RACE-R01,Maximum Boost,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
FROE-003,TVR-FT550-RACE-R01,Two-Step RPM,TBD,rpm,TBD,OPEN,TBD,TBD,TBD
FROE-004,TVR-FT550-RACE-R01,Maximum Two-Step Activation,TBD,ms,TBD,OPEN,TBD,TBD,TBD
FROE-005,TVR-FT550-RACE-R01,Maximum Launch Boost,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
FROE-006,TVR-FT550-RACE-R01,Fuel Type,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
FROE-007,TVR-FT550-RACE-R01,Base Fuel Pressure,TBD,kPa_or_bar,TBD,OPEN,TBD,TBD,TBD
FROE-008,TVR-FT550-RACE-R01,Turbo Speed Limit if measured,TBD_or_DNP,rpm,TBD,OPEN,TBD,TBD,TBD
FROE-009,TVR-FT550-RACE-R01,Engine Temperature Limit,TBD,C,TBD,OPEN,TBD,TBD,TBD
FROE-010,TVR-FT550-RACE-R01,IAT Limit,TBD,C,TBD,OPEN,TBD,TBD,TBD
FROE-011,TVR-FT550-RACE-R01,Oil Pressure Minimum,TBD,kPa_or_bar,TBD,OPEN,TBD,TBD,TBD
FROE-012,TVR-FT550-RACE-R01,Fuel Differential Minimum,TBD,kPa_or_bar,TBD,OPEN,TBD,TBD,TBD
FROE-013,TVR-FT550-RACE-R01,Injector Duty Ceiling,TBD,percent,TBD,OPEN,TBD,TBD,TBD
FROE-014,TVR-FT550-RACE-R01,Tyre/Final Drive Assumption,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
FROE-015,TVR-FT550-RACE-R01,Track/Environment Restrictions,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
FROE-016,TVR-FT550-RACE-R01,Final Race Envelope Review,TBD,PASS_FAIL,TBD,NOT_RELEASED,TBD,TBD,Required for FINAL_RACE_CONFIGURATION_ACTIVE
