Map_ID,Signal,Protocol_Form,MessageID,Expected_FT550_Family_Arbitration_ID,Byte_Start,Length_bytes,Signed,Endian,MeasureID,Unit,Multiplier,Rate_Hz,Verification_Status,Notes
FM-001,TPS,Simple broadcast,0x600,0x14080600,0,2,YES,Big,N/A,percent,0.1,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 0-1; expected arbitration ID assumes FT600-family ProductID 0x5020 unique 0 used by FT550/600 family"
FM-002,MAP,Simple broadcast,0x600,0x14080600,2,2,YES,Big,N/A,bar,0.001,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 2-3"
FM-003,Air temperature,Simple broadcast,0x600,0x14080600,4,2,YES,Big,N/A,degC,0.1,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 4-5"
FM-004,Engine temperature,Simple broadcast,0x600,0x14080600,6,2,YES,Big,N/A,degC,0.1,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 6-7"
FM-005,Oil pressure,Simple broadcast,0x601,0x14080601,0,2,YES,Big,N/A,bar,0.001,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 0-1"
FM-006,Fuel pressure,Simple broadcast,0x601,0x14080601,2,2,YES,Big,N/A,bar,0.001,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 2-3"
FM-007,Water pressure,Simple broadcast,0x601,0x14080601,4,2,YES,Big,N/A,bar,0.001,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 4-5; not presently required by PMU"
FM-008,Gear,Simple broadcast,0x601,0x14080601,6,2,YES,Big,N/A,gear,NOTE_2,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 6-7; decode per FuelTech Note 2"
FM-009,O2,Simple broadcast,0x602,0x14080602,0,2,YES,Big,N/A,lambda,0.001,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Protocol simple frame; not required by PMU baseline"
FM-010,ECU RPM,Simple broadcast,0x602,0x14080602,2,2,YES,Big,N/A,rpm,1,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 2-3; MeasureID equivalent 0x0084"
FM-011,Oil temperature,Simple broadcast,0x602,0x14080602,4,2,YES,Big,N/A,degC,0.1,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 4-5; optional"
FM-012,PitLimit switch,Simple broadcast,0x602,0x14080602,6,2,YES,Big,N/A,state,NOTE,100,PROTOCOL VERIFIED / VEHICLE CAPTURE REQUIRED,"Payload bytes 6-7; optional"
FM-013,Battery voltage,Tagged real-time broadcast,0x0FF/0x1FF/0x2FF/0x3FF,DERIVED_FROM_ACTIVE_FT550_PRODUCT_ID,VARIABLE,2,YES,Big,0x0012,volts,0.01,100,MEASUREID VERIFIED / PMU PARSER REQUIRED,"Tagged payload is MeasureID + signed 16-bit value; filter source ProductID to ECU"
FM-014,ECU warning/fault state,Tagged real-time broadcast,VERIFY,DERIVED_FROM_ACTIVE_FT550_PRODUCT_ID,VARIABLE,VERIFY,VERIFY,Big,VERIFY,state,VERIFY,VERIFY,OPEN,"Do not use until exact FuelTech MeasureID/status definition is verified"
