Circuit_ID,Function,From,To,Wire_mm2,Signal_Class,Label_Text,Colour_Preference,Status
ECU-PWR-SW,FT550 switched 12V,Protected EPM supply,FT550 A13,0.75,POWER,ECU-PWR-SW,RD,PROVISIONAL_FROZEN_CLASS
ECU-GND-1,FT550 power ground 1,J-P02,FT550 B1,0.75,GROUND,ECU-GND-1,BK,PROVISIONAL_FROZEN_CLASS
ECU-GND-2,FT550 power ground 2,J-P02,FT550 B2,0.75,GROUND,ECU-GND-2,BK,PROVISIONAL_FROZEN_CLASS
CAN-FT-H,FT550 CAN A high,FT550 A16,PMU CAN2H pin24,0.35 twisted,COMM,CAN-FT-H,WH/RD,FROZEN
CAN-FT-L,FT550 CAN A low,FT550 A15,PMU CAN2L pin37,0.35 twisted,COMM,CAN-FT-L,WH/BU,FROZEN
CKP-SIG,Crank signal,CKP,FT550 A19,0.35 shielded,SENSOR,CKP-SIG,WH,FROZEN_CLASS
CKP-REF,Crank reference,CKP,FT550 A18,0.35 shielded,SENSOR,CKP-REF,BK,FROZEN_CLASS
TPS-SIG,TPS signal,TPS,FT550 A22,0.35,SENSOR,TPS-SIG,GY/VT,FROZEN_CLASS
MAP-SIG,MAP signal,MAP,FT550 A20,0.35,SENSOR,MAP-SIG,VT/WH,FROZEN_CLASS
ECT-SIG,ECT signal,ECT,FT550 A24,0.35,SENSOR,ECT-SIG,PK/YE,FROZEN_CLASS
IAT-SIG,IAT signal,IAT,FT550 B5,0.35,SENSOR,IAT-SIG,LGN/YE,FROZEN_CLASS
FUELP-SIG,Fuel pressure signal,Fuel pressure sensor,FT550 A25,0.35,SENSOR,FUELP-SIG,WH,FROZEN_CLASS
OILP-SIG,Oil pressure signal,Oil pressure sensor,FT550 A23,0.35,SENSOR,OILP-SIG,WH,FROZEN_CLASS
INJ1-CMD,Front injector command,FT550 A1,Injector interface,0.50,CONTROL,INJ1-CMD,BU,FROZEN
INJ2-CMD,Rear injector command,FT550 A2,Injector interface,0.50,CONTROL,INJ2-CMD,BU,FROZEN
IGN1-CMD,Front ignition command,FT550 A8,SparkPRO input 1,0.50,CONTROL,IGN1-CMD,GY,FROZEN
IGN2-CMD,Rear ignition command,FT550 A9,SparkPRO input 2,0.50,CONTROL,IGN2-CMD,GY,FROZEN
INJ-PWR,Injector common power,Protected EPM supply,Injectors,1.0 provisional,POWER,INJ-PWR,RD,MEASUREMENT_GATED
IGN-PWR,Ignition common power,Protected EPM supply,SparkPRO/coil topology,1.5 provisional,POWER,IGN-PWR,RD,MEASUREMENT_GATED
FP1-PWR,Primary fuel pump power,PMU O1 pin38,Fuel pump,2.0 provisional,POWER,FP1-PWR,RD/YE,MEASUREMENT_GATED
FAN1-PWR,Radiator fan 1 power,PMU O3 pin26,Radiator fan,2.5 provisional,POWER,FAN1-PWR,RD/BU,MEASUREMENT_GATED
CCP-PWR,Charge cooler pump power,PMU O5 pin12,Charge cooler pump,2.0 provisional,POWER,CCP-PWR,RD/VT,DNP_OR_MEASUREMENT_GATED
BOOST-PWR,Boost solenoid power,PMU O6 pin11,Boost solenoid,0.75,POWER,BOOST-PWR,RD/BK,STRONG_PROVISIONAL
WARN-PWR,Warning lamp output,PMU O8 pin9,Warning lamp,0.50,CONTROL,WARN-PWR,YE/BK,PROVISIONAL
SERVICE-PWR,Logger/service feed,PMU O10 pin4,Service/logger connector,0.75,POWER,SERVICE-PWR,OG/WH,PROVISIONAL
MASTER-SW,Master enable command,Master switch,PMU A1 pin29,0.35,COMMAND,MASTER-SW,VERIFY,PROVISIONAL
START-REQ,Start request,Start switch,PMU A2 pin16,0.35,COMMAND,START-REQ,VERIFY,PROVISIONAL
KILL-REQ,Kill request,Kill switch,PMU A3 pin30,0.35,SAFETY,KILL-REQ,VERIFY,PROVISIONAL
FAN-OVR,Fan override,Fan override switch,PMU A4 pin17,0.35,COMMAND,FAN-OVR,VERIFY,PROVISIONAL
SERVICE-MODE,Service/test command,Service switch,PMU A5 pin31,0.35,COMMAND,SERVICE-MODE,VERIFY,PROVISIONAL
CLUTCH-SW,Clutch discrete,OEM clutch switch,PMU A6 pin18,0.35,SAFETY,CLUTCH-SW,VERIFY,FROZEN_CLASS
CLUTCH-POS,Clutch position analogue,Optional Hall sensor,PMU A7 pin32,0.35,SENSOR,CLUTCH-POS,VERIFY,OPTIONAL
2STEP-CMD,PMU Two-Step relay command,PMU O11 pin3,X70 relay coil,0.50,CONTROL,2STEP-CMD,VERIFY,FROZEN_CLASS
2STEP-REQ,FT550 ground-active Two-Step request,X70 relay contact,FT550 A21,0.35,COMMAND,2STEP-REQ,VERIFY,FROZEN_CLASS
PMU-MAIN,PMU main battery feed,Battery/protection,PMU stud,10.0 provisional,POWER,PMU-MAIN,RD,MEASUREMENT_GATED
PMU-GND,PMU device ground,J-P02,PMU pin25,1.0,GROUND,PMU-GND,BK,PROVISIONAL
