Splice_ID,Class,Function,Input_Circuits,Output_Circuits,Input_Wire_mm2,Output_Wire_mm2,Conductor_Count,Method,Tooling_or_Process,Seal_Insulation,Physical_Datum_or_Location,Heat_Zone,Movement_Zone,Inspection,Pull_Test,Current_or_Signal_Class,Protection_Relationship,Release_State,Notes
J-P01,PRIMARY_POSITIVE,Primary positive distribution,BATTERY_POSITIVE_OR_MASTER_PROTECTED,B15;B39;B40;PUMP_FEEDS_IF_EXTERNAL_STAGE;AUX_FEEDS,TBD,MIXED,TBD,STUD_OR_DISTRIBUTION_BLOCK,TBD,BOOTED_INSULATED,TBD,NO,NO,TORQUE_VISUAL,NA,HIGH_CURRENT,UPSTREAM_MASTER_PLUS_BRANCH_PROTECTION,DFM_REQUIRED,Exact hardware and stack-up pending
J-P02,PRIMARY_GROUND,High-current ground star,BATTERY_NEGATIVE_OR_ENGINE_GROUND,PUMP_RETURNS;FAN_RETURN;COOLER_RETURN;IGNITION_POWER_GROUND_AS_RELEASED,TBD,MIXED,TBD,STUD_OR_GROUND_BLOCK,TBD,BOOTED_OR_PROTECTED,TBD,NO,NO,TORQUE_VISUAL,NA,HIGH_CURRENT,RETURN_PATH,DFM_REQUIRED,Do not include precision sensor ground
S-SENS-01,SENSOR_5V,5V reference fan-out,FT550_5V_REF,TPS_5V;MAP_5V;OTHER_RELEASED_5V_SENSORS,TBD,TBD,TBD,TBD,TBD,SEALED,TBD,NO,NO,VISUAL_CONTINUITY,TBD,PRECISION_REFERENCE,FT550_REFERENCE,VERIFY_REQUIRED,Only populate released 5V consumers
S-SENS-02,SENSOR_GROUND,Sensor ground fan-out,FT550_SENSOR_GROUND,TPS_GND;MAP_GND;IAT_GND;ET_GND;OTHER_RELEASED_SENSOR_RETURNS,TBD,TBD,TBD,TBD,TBD,SEALED,TBD,NO,NO,VISUAL_CONTINUITY,TBD,PRECISION_GROUND,FT550_SENSOR_RETURN,VERIFY_REQUIRED,Keep separate from J-P02
S-PWR-01,EPM_POWER,Injector supply split,B39,FRONT_INJECTOR_12V;REAR_INJECTOR_12V,TBD,TBD,3,TBD,TBD,SEALED,TBD,NO,NO,VISUAL_CONTINUITY,TBD,ENGINE_CRITICAL_POWER,B39_PROTECTION,VERIFY_REQUIRED,Re-evaluate if Peak & Hold architecture changes supply topology
S-PWR-02,EPM_POWER,Ignition supply distribution,B40,SPARKPRO_SUPPLY;COIL_SUPPLY_IF_REQUIRED_BY_RELEASED_ARCHITECTURE,TBD,TBD,TBD,TBD,TBD,SEALED,TBD,NO,NO,VISUAL_CONTINUITY,TBD,ENGINE_CRITICAL_POWER,B40_PROTECTION,VERIFY_REQUIRED,Exact topology depends SparkPRO/coil architecture
S-AUX-01,AUX_POWER,Radiator fan branch distribution,B11,TBD,TBD,TBD,TBD,TBD,TBD,SEALED,TBD,NO,NO,VISUAL_CONTINUITY,TBD,AUX_HIGH_CURRENT,B11_PROTECTION,VERIFY_REQUIRED,May be direct branch without splice
S-AUX-02,AUX_POWER,Charge-cooler branch distribution,B12,TBD,TBD,TBD,TBD,TBD,SEALED,TBD,NO,NO,VISUAL_CONTINUITY,TBD,AUX_HIGH_CURRENT,B12_PROTECTION,VERIFY_REQUIRED,DNP if not fitted
S-CAN-01,CAN_SERVICE,X51 short service stub branch,CAN_BACKBONE_HL,X51_CAN_HL,0.35,0.35,4,CONTROLLED_CAN_BRANCH,TBD,SEALED_OR_PROTECTED,TBD,NO,NO,CONTINUITY_POLARITY,NA,CAN,NO_LOCAL_TERMINATION,VERIFY_REQUIRED,Keep stub <=300mm target and preserve twist
S-TRG-01,TRIGGER_REPAIR,CKP repair/service pigtail transition if required,X10_OEM_PIGTAIL,FT550_CKP,TBD,TBD,TBD,TBD,TBD,SEALED,TBD,HIGH_HEAT_NOISE,NO,CONTINUITY_POLARITY,TBD,PRECISION_TRIGGER,NA,CONDITIONAL,Only if exact connector loose parts unavailable
S-TRG-02,TRIGGER_REPAIR,CAM repair/service pigtail transition if required,X11_OEM_PIGTAIL,FT550_CAM,TBD,TBD,TBD,TBD,TBD,SEALED,TBD,HIGH_HEAT_NOISE,NO,CONTINUITY_POLARITY,TBD,PRECISION_TRIGGER,NA,CONDITIONAL,DNP if CAM not used
S-SVC-01,SERVICE,Optional service 12V split,J-P01_PROTECTED_SERVICE,X50_SERVICE_12V;X51_SERVICE_12V,TBD,0.75,TBD,TBD,TBD,SEALED,TBD,NO,NO,CONTINUITY_BACKFEED,TBD,LOW_CURRENT_POWER,DEDICATED_SERVICE_PROTECTION,CONDITIONAL,DNP if service power omitted
