Circuit_ID,System,Function,Source,Source_Cavity,Destination,Destination_Cavity,Wire_mm2,Wire_Spec,Colour_or_Print,Signal_Class,Branch_or_Bundle,Protection,Twist_Shield,Splice_ID,Released_Length_mm,Source_Terminal_PN,Destination_Terminal_PN,Release_State,Notes
PWR-001,PRIMARY_POWER,B15 PMU main feed,J-P01,TBD,PMU16_MAIN,TBD,10.0_BASELINE,TBD,TBD,HIGH_CURRENT,PRIMARY_POWER,TBD,NONE,NA,TBD,TBD,TBD,BASELINE_FROZEN_EVIDENCE_GATED,Do not downsize without engineering change
PWR-002,FUEL_PUMP,Pump 1 positive,PMU_O1_OR_EXTERNAL_STAGE,TBD,X30_PUMP1_SERVICE,TBD,4.0_MIN,TBD,TBD,HIGH_CURRENT,FUEL_PUMP_1,TBD,NONE,NA,TBD,TBD,TBD,FROZEN,Final switching architecture measurement gated
GND-001,FUEL_PUMP,Pump 1 dedicated return,X30_PUMP1_SERVICE,TBD,J-P02,TBD,4.0_MIN,TBD,TBD,HIGH_CURRENT_RETURN,FUEL_PUMP_1,NA,NONE,NA,TBD,TBD,TBD,FROZEN,Dedicated return only
PWR-003,FUEL_PUMP,Pump 2 positive,PMU_O2_OR_EXTERNAL_STAGE,TBD,X31_PUMP2_SERVICE,TBD,4.0_MIN,TBD,TBD,HIGH_CURRENT,FUEL_PUMP_2,TBD,NONE,NA,TBD,TBD,TBD,FROZEN,Final switching architecture measurement gated
GND-002,FUEL_PUMP,Pump 2 dedicated return,X31_PUMP2_SERVICE,TBD,J-P02,TBD,4.0_MIN,TBD,TBD,HIGH_CURRENT_RETURN,FUEL_PUMP_2,NA,NONE,NA,TBD,TBD,TBD,FROZEN,Dedicated return only
AUX-001,COOLING,B11 radiator fan positive,PMU_O3_OR_EXTERNAL_STAGE,TBD,B11_FAN,TBD,2.5_BASELINE,TBD,TBD,AUX_HIGH_CURRENT,AUX_COOLING,TBD,NONE,NA,TBD,TBD,TBD,BASELINE_FROZEN_EVIDENCE_GATED,Final current/protection measurement gated
GND-003,COOLING,B11 radiator fan return,B11_FAN,TBD,J-P02,TBD,2.5_BASELINE,TBD,TBD,AUX_RETURN,AUX_COOLING,NA,NONE,NA,TBD,TBD,TBD,BASELINE_FROZEN_EVIDENCE_GATED,Final route/current gated
AUX-002,COOLING,B12 charge cooler pump positive,PMU_OR_EXTERNAL_STAGE,TBD,B12_PUMP,TBD,2.0_BASELINE,TBD,TBD,AUX_HIGH_CURRENT,AUX_COOLING,TBD,NONE,NA,TBD,TBD,TBD,BASELINE_FROZEN_EVIDENCE_GATED,DNP if not fitted
GND-004,COOLING,B12 charge cooler pump return,B12_PUMP,TBD,J-P02,TBD,2.0_BASELINE,TBD,TBD,AUX_RETURN,AUX_COOLING,NA,NONE,NA,TBD,TBD,TBD,BASELINE_FROZEN_EVIDENCE_GATED,DNP if not fitted
EPM-001,INJECTOR,B39 injector protected supply,J-P01_OR_EPM_DISTRIBUTION,TBD,INJECTOR_SUPPLY_SPLICE,TBD,1.0_BASELINE,TBD,TBD,ENGINE_CRITICAL_POWER,EPM_INJECTOR,TBD,NONE,TBD,TBD,TBD,TBD,BASELINE_FROZEN_EVIDENCE_GATED,Re-evaluate if peak-and-hold selected
INJ-001,INJECTOR,Front injector command,FT550_A1,A1,X62_IN,TBD,0.50_BASELINE,TBD,TBD,LOW_SIDE_COMMAND,INJECTOR_COMMAND,TBD,NONE,NA,TBD,TBD,TBD,FROZEN,X62/X63 serviceable driver architecture
INJ-002,INJECTOR,Rear injector command,FT550_A2,A2,X62_IN,TBD,0.50_BASELINE,TBD,TBD,LOW_SIDE_COMMAND,INJECTOR_COMMAND,TBD,NONE,NA,TBD,TBD,TBD,FROZEN,X62/X63 serviceable driver architecture
