Dimension_ID,Branch_or_Item,From_Datum,To_Datum,Routed_Length_mm,Service_Allowance_mm,Released_Length_mm,Tolerance_mm,Route_Photo,Start_Photo,End_Photo,Movement_State,Heat_Zone,Minimum_Clearance_mm,Clamp_or_Breakout_Notes,Measurement_Method,Measured_By,Date,State,Notes
DIM-001,B15 Main PMU Feed,D0_BATTERY_JP01,D2_PMU,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,10mm2 baseline
DIM-002,PMU Main Branch,D2_PMU,PRIMARY_TRUNK_BREAKOUT,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-003,FT550 Main Branch,PRIMARY_TRUNK_BREAKOUT,D3_FT550,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-004,SparkPRO Branch,PRIMARY_TRUNK_BREAKOUT,D4_SPARKPRO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,HIGH_HEAT_POSSIBLE,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,Maintain ignition/noise separation
DIM-005,Pump1 Feed,RELEASED_POWER_STAGE_OR_PMU,PUMP1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,4.0mm2 minimum
DIM-006,Pump1 Return,PUMP1,D1_JP02,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,4.0mm2 dedicated return
DIM-007,Pump2 Feed,RELEASED_POWER_STAGE_OR_PMU,PUMP2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,4.0mm2 minimum
DIM-008,Pump2 Return,PUMP2,D1_JP02,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,4.0mm2 dedicated return
DIM-009,Front Injector Branch,ENGINE_TRUNK_BREAKOUT,X19,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,HOT_ENGINE,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-010,Rear Injector Branch,ENGINE_TRUNK_BREAKOUT,X20,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,HOT_ENGINE,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-011,Front Coil Branch,IGNITION_BREAKOUT,X21,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,HOT_ENGINE,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-012,Rear Coil Branch,IGNITION_BREAKOUT,X22,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,HOT_ENGINE,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-013,CKP Branch,ENGINE_TRUNK_BREAKOUT,X10,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,HIGH_NOISE_HEAT,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,Preserve trigger routing
DIM-014,CAM Branch if used,ENGINE_TRUNK_BREAKOUT,X11,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,HIGH_NOISE_HEAT,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,DNP if not used
DIM-015,TPS Branch,SENSOR_TRUNK_BREAKOUT,X12,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-016,MAP Branch,SENSOR_TRUNK_BREAKOUT,X13,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-017,Engine Temp Branch,SENSOR_TRUNK_BREAKOUT,X14,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,HOT_ENGINE,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-018,IAT Branch,SENSOR_TRUNK_BREAKOUT,X15,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-019,VSS Rear Branch,REAR_TRUNK_BREAKOUT,X16,TBD,TBD,TBD,TBD,TBD,TBD,TBD,FULL_MOVEMENT,TBD,TBD,TBD,ROUTED_STRING_AND_MOVEMENT,TBD,TBD,OPEN,Check suspension/rotating clearance
DIM-020,Radiator Fan Branch,AUX_BREAKOUT,B11_FAN,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,HOT_AIR,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-021,Charge Cooler Pump Branch,AUX_BREAKOUT,B12_PUMP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,DNP if not fitted
DIM-022,X50 Service Branch,PRIMARY_TRUNK_BREAKOUT,X50,TBD,TBD,TBD,TBD,TBD,TBD,TBD,SERVICE,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-023,X51 CAN Service Stub,CAN_BACKBONE,X51,TBD,TBD,TBD,TBD,TBD,TBD,TBD,SERVICE,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,Keep stub short
DIM-024,X70 Two Step Relay Branch,PRIMARY_TRUNK_BREAKOUT,X70,TBD,TBD,TBD,TBD,TBD,TBD,TBD,STATIC,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,Accessible/protected location
DIM-025,Steering Branch Centre,D5_STEERING_HEAD,FRONT_BRANCH,TBD,TBD,TBD,TBD,TBD,TBD,TBD,CENTRE,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,TBD
DIM-026,Steering Branch Full Left,D5_STEERING_HEAD,FRONT_BRANCH,TBD,TBD,TBD,TBD,TBD,TBD,TBD,FULL_LEFT,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,No tension/pinch
DIM-027,Steering Branch Full Right,D5_STEERING_HEAD,FRONT_BRANCH,TBD,TBD,TBD,TBD,TBD,TBD,TBD,FULL_RIGHT,TBD,TBD,TBD,ROUTED_STRING,TBD,TBD,OPEN,No tension/pinch
