Interface_ID,Device,OEM_Device_PN,Device_Markings,Cavity_Count,Device_Side_Gender,Keying,Latch,Secondary_Lock,Seal,Approx_Housing_Size_mm,Terminal_Size,OEM_Wire_Size_mm2,Cavity_Map_Verified,Wire_Colours,Connector_Manufacturer,Connector_Family,Mating_Housing_PN,Terminal_PN,Seal_PN,TPA_CPA_PN,Cavity_Plug_PN,Crimp_Tool,Repair_Pigtail_PN,Service_Break,Photo_Set,Continuity_Evidence,Source_Evidence,Final_State,Notes
X10,CKP,32313-01A,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,DTM_OR_RELEASED_EQUIVALENT_IF_PIGTAIL,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Preserve trigger polarity/shielding evidence
X11,CAM_IF_USED,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,DTM_OR_RELEASED_EQUIVALENT_IF_PIGTAIL,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Confirm fitted/used status
X12,TPS,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,DTM_IF_PIGTAIL,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Verify 5V sensor ground and signal cavities
X13,MAP,32416-10,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,DTM_IF_PIGTAIL,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Verify 5V sensor ground and signal cavities
X14,ENGINE_TEMP,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,DTM_IF_PIGTAIL,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Confirm exact retained sensor PN
X15,IAT,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,DTM_IF_PIGTAIL,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Confirm exact retained sensor PN
X16,VSS,74402-05B,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,DTM_IF_PIGTAIL,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Verify supply ground signal architecture
X17,OEM_SENSOR_SPARE_1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Reconcile against latest interface schedule
X18,OEM_SENSOR_SPARE_2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Reconcile against latest interface schedule
X19,FRONT_INJECTOR,27772-06,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,CONTROLLED_PIGTAIL_IF_REQUIRED,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Must match injector electrical architecture
X20,REAR_INJECTOR,27772-06,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,CONTROLLED_PIGTAIL_IF_REQUIRED,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Must match injector electrical architecture
X21,FRONT_COIL,32477-01A,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,CONTROLLED_PIGTAIL_IF_REQUIRED,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Must match SparkPRO channel architecture
X22,REAR_COIL,32477-01A,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,CONTROLLED_PIGTAIL_IF_REQUIRED,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Must match SparkPRO channel architecture
X23,OEM_INTERFACE_SPARE,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NO,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PHYSICAL_ID_REQUIRED,Reconcile against latest interface schedule
