Record_Type,Record_ID,System_or_Branch,Function,From,To,Wire_mm2,Wire_Spec,Colour_or_ID,Connector_Housing_PN,Terminal_PN,Seal_Lock_PN,Splice_ID,Length_mm,Tolerance_mm,Protection,Heat_Protection,Golden_Harness_Revision,Configuration_Revision,Evidence_or_Drawing,Status,Notes
CIRCUIT,B15,PRIMARY_POWER,PMU main feed,J-P01,PMU16_MAIN,10.0,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,TBD,TBD,R1,TBD,TEMPLATE,Final value subject to released configuration
CIRCUIT,PUMP1_FEED,FUEL_PUMP,Pump 1 positive,J-P01_OR_RELEASED_STAGE,PUMP1,4.0_MIN,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,R1,TBD,TEMPLATE,Do not downsize below 4.0mm2
CIRCUIT,PUMP1_RETURN,FUEL_PUMP,Pump 1 dedicated return,PUMP1,J-P02,4.0_MIN,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,R1,TBD,TEMPLATE,Do not downsize below 4.0mm2
CIRCUIT,PUMP2_FEED,FUEL_PUMP,Pump 2 positive,J-P01_OR_RELEASED_STAGE,PUMP2,4.0_MIN,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,R1,TBD,TEMPLATE,Do not downsize below 4.0mm2
CIRCUIT,PUMP2_RETURN,FUEL_PUMP,Pump 2 dedicated return,PUMP2,J-P02,4.0_MIN,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,R1,TBD,TEMPLATE,Do not downsize below 4.0mm2
CIRCUIT,B39,EPM_POWER,Injector supply,J-P01_OR_EPM_DISTRIBUTION,INJECTOR_SUPPLY,1.0_BASELINE,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,R1,TBD,TEMPLATE,Final conductor/protection measurement gated
CIRCUIT,B40,EPM_POWER,SparkPRO ignition supply,J-P01_OR_EPM_DISTRIBUTION,SPARKPRO_SUPPLY,1.5_BASELINE,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,R1,TBD,TEMPLATE,Final conductor/protection measurement gated
CIRCUIT,B11,COOLING,Radiator fan supply,PMU_OR_RELEASED_STAGE,FAN,2.5_BASELINE,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,R1,TBD,TEMPLATE,Final architecture measurement gated
CIRCUIT,B12,COOLING,Charge cooler pump supply,PMU_OR_RELEASED_STAGE,CHARGE_COOLER_PUMP,2.0_BASELINE,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,R1,TBD,TEMPLATE,DNP if not fitted
INTERFACE,X50,SERVICE,Engineering/service connector,HARNESS,SERVICE_BRANCH,TBD,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,TBD,TBD,R1,TBD,TEMPLATE,Low/medium current only
INTERFACE,X51,CAN_SERVICE,CAN diagnostic service stub,CAN_BACKBONE,X51,TBD,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,NO_LOCAL_TERMINATION,TBD,TBD,R1,TBD,TEMPLATE,Short stub only
INTERFACE,X70,TWO_STEP,Two-Step dry-contact relay,PMU_O11,FT550_A21,TBD,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,TBD,TBD,R1,TBD,TEMPLATE,A21 contact side must remain isolated from +12V
