Audit_ID,PMU_Function,Expected_Assignment,Exact_Cavity,Direction,Circuit_ID,Wire_mm2,Terminal_Family_Candidate,Expected_Current_Class,Source_Authority,Pinout_Status,Wire_Range_Status,Current_Thermal_Status,Tooling_Status,Final_State,Notes
PMU-AUD-001,Fuel Pump 1,O1 or released equivalent,TBD,OUTPUT,FP1-PWR,4.0 if direct PMU; 0.5 command if external stage,211CC3S3120 candidate for 4.0mm2 or lower-current family for command,High if direct / Low if command,Exact PMU16 HW pinout + BD-001 decision,PINOUT_VERIFY_REQUIRED,MEASUREMENT_GATED,MEASUREMENT_GATED,TOOL_VERIFY,OPEN,Do not downsize 4.0mm2 pump feed to fit PMU
PMU-AUD-002,Fuel Pump 2,O2 or released equivalent,TBD,OUTPUT,FP2-PWR,4.0 if direct PMU; 0.5 command if external stage,211CC3S3120 candidate for 4.0mm2 or lower-current family for command,High if direct / Low if command,Exact PMU16 HW pinout + BD-001 decision,PINOUT_VERIFY_REQUIRED,MEASUREMENT_GATED,MEASUREMENT_GATED,TOOL_VERIFY,DNP_OR_OPEN,Secondary pump only if fitted
PMU-AUD-003,Radiator Fan,O3 or released equivalent,TBD,OUTPUT,FAN1-PWR,2.5 prototype baseline or low-current command if external stage,211CC3S2120/211CC3S3120 candidate by final wire,Medium/High,Exact PMU16 HW pinout + BD-004 decision,PINOUT_VERIFY_REQUIRED,MEASUREMENT_GATED,MEASUREMENT_GATED,TOOL_VERIFY,OPEN,Final conductor after fan measurement
PMU-AUD-004,Charge Cooler Pump,O5 or released equivalent,TBD,OUTPUT,CCP-PWR,2.0 prototype baseline or low-current command if external stage,211CC3S2120 candidate by final wire,Medium,Exact PMU16 HW pinout + BD-004 decision,PINOUT_VERIFY_REQUIRED,MEASUREMENT_GATED,MEASUREMENT_GATED,TOOL_VERIFY,DNP_OR_OPEN,DNP if not fitted
PMU-AUD-005,Boost Control Solenoid,O6,TBD,OUTPUT,BOOST-SOL,0.75,211CC2S2160P candidate,Low/Medium,Exact PMU16 HW pinout + selected solenoid data,PINOUT_VERIFY_REQUIRED,LIKELY_PASS,DEVICE_CURRENT_VERIFY,TOOL_VERIFY,OPEN,Freeze exact solenoid current
PMU-AUD-006,Two-Step Relay Command,O11,TBD,OUTPUT,2STEP-CMD,0.50,211CC2S2160P candidate,Low,Exact PMU16 HW pinout + X70 freeze,PINOUT_VERIFY_REQUIRED,LIKELY_PASS,LIKELY_PASS,TOOL_VERIFY,OPEN,Drives X70 relay coil only
PMU-AUD-007,Clutch Switch Input,A6,TBD,INPUT,CLUTCH-SW,0.35,211CC2S2160P candidate,Signal,Exact PMU16 HW pinout + Two-Step architecture,PINOUT_VERIFY_REQUIRED,LIKELY_PASS,PASS_SIGNAL_CLASS,TOOL_VERIFY,OPEN,Verify input conditioning/configuration
PMU-AUD-008,Optional Clutch Hall Input,A7 or released input,TBD,INPUT,CLUTCH-POS,0.35,211CC2S2160P candidate,Signal,Exact PMU16 HW pinout + selected sensor,PINOUT_VERIFY_REQUIRED,LIKELY_PASS,DEVICE_VERIFY,TOOL_VERIFY,DNP_OR_OPEN,Only if Hall sensor fitted
PMU-AUD-009,CAN High,CAN-H,TBD,COMM,CAN-H,0.35 twisted,211CC2S2160P candidate,Signal,Exact PMU16 HW pinout + CAN freeze,PINOUT_VERIFY_REQUIRED,LIKELY_PASS,PASS_SIGNAL_CLASS,TOOL_VERIFY,OPEN,Preserve pair twist/polarity
PMU-AUD-010,CAN Low,CAN-L,TBD,COMM,CAN-L,0.35 twisted,211CC2S2160P candidate,Signal,Exact PMU16 HW pinout + CAN freeze,PINOUT_VERIFY_REQUIRED,LIKELY_PASS,PASS_SIGNAL_CLASS,TOOL_VERIFY,OPEN,Preserve pair twist/polarity
PMU-AUD-011,PMU Device Ground,Ground pin(s),TBD,GROUND,PMU-GND,1.0 provisional,211CC2S2160P or 211CC3S2120 candidate by exact cavity,Low/Medium module ground,Exact PMU16 HW pinout + measured installed drop,PINOUT_VERIFY_REQUIRED,VERIFY,VERIFY,TOOL_VERIFY,OPEN,Not a fuel-pump/high-current return
PMU-AUD-012,Master/Kill Input,Released PMU input,TBD,INPUT,MASTER-KILL,0.35,211CC2S2160P candidate,Signal,Exact PMU16 HW pinout + PMU logic release,PINOUT_VERIFY_REQUIRED,LIKELY_PASS,PASS_SIGNAL_CLASS,TOOL_VERIFY,OPEN,Function/cavity must match final PMU config
PMU-AUD-013,Ignition Request/Input,Released PMU input,TBD,INPUT,IGN-REQ,0.35,211CC2S2160P candidate,Signal,Exact PMU16 HW pinout + PMU logic release,PINOUT_VERIFY_REQUIRED,LIKELY_PASS,PASS_SIGNAL_CLASS,TOOL_VERIFY,OPEN,If separate from master/kill
PMU-AUD-014,Reserved/Unused,All other unused cavities,TBD,DNP,DNP,NA,Cavity plug/seal per connector family,None,Exact PMU16 HW pinout,PINOUT_VERIFY_REQUIRED,NA,NA,NA,DNP_VERIFY,Unused cavities identified and sealed as required
