Connector_ID,Device,OEM_Device_PN,Strategy,Proposed_Service_Break,Physical_Mate_Verified,Cavity_Functions_Verified,Seal_Retention_OK,Pigtail_Condition_OK,Released_Status,Closeout
X10,Crankshaft position sensor,32313-01A,Exact mating connector if positively identified else verified OEM pigtail,2-way DTM only if electrical topology suits; preserve shield strategy,NO,NO,NO,NO,PHYSICAL_ID_REQUIRED,Inspect actual CKP connector and verify 74194-98 terminal context before freeze
X11,Throttle position sensor,27975-01 project baseline,Verified OEM pigtail if bare housing not proven,3-way DTM,NO,NO,NO,NO,PHYSICAL_ID_REQUIRED,Photograph connector face/keying and identify cavities
X12,MAP sensor,32416-10,Verified OEM pigtail if bare housing not proven,3-way DTM,NO,NO,NO,NO,PHYSICAL_ID_REQUIRED,Photograph connector face/keying and identify cavities
X13,Engine coolant temperature sensor,32315-01 project baseline,Verified OEM pigtail if bare housing not proven,2-way DTM,NO,NO,NO,NO,PHYSICAL_ID_REQUIRED,Confirm actual Destroyer sensor and connector
X14,Intake air temperature sensor,27388-01 project baseline,Verified OEM pigtail if bare housing not proven,2-way DTM,NO,NO,NO,NO,PHYSICAL_ID_REQUIRED,Confirm actual Destroyer sensor and connector
X15,Vehicle speed sensor,74402-05B,Verified OEM pigtail if bare housing not proven,3-way DTM,NO,NO,NO,NO,PHYSICAL_ID_REQUIRED,Photograph connector face/keying and identify cavities
X16,Oil pressure switch if retained,26561-99,Verified OEM pigtail if bare housing not proven,1/2-way sealed service break as topology requires,NO,NO,NO,NO,OPTIONAL_PHYSICAL_ID_REQUIRED,Confirm whether retained in final protection architecture
X17,Neutral switch if retained,33902-98A,Verified OEM pigtail if bare housing not proven,1/2-way sealed service break as topology requires,NO,NO,NO,NO,OPTIONAL_PHYSICAL_ID_REQUIRED,Confirm whether retained
X20,Front injector,27772-06 project baseline,Verified injector connector/pigtail,2-way DTM service break only downstream of injector pigtail if needed,NO,NO,NO,NO,PHYSICAL_ID_REQUIRED,Confirm injector electrical class and actual connector
X21,Rear injector,27772-06 project baseline,Verified injector connector/pigtail,2-way DTM service break only downstream of injector pigtail if needed,NO,NO,NO,NO,PHYSICAL_ID_REQUIRED,Confirm injector electrical class and actual connector
X22,Front ignition coil,32477-01A,Verified OEM pigtail if bare housing not proven,2-way sealed service break selected to coil conductor/current,NO,NO,NO,NO,PHYSICAL_ID_REQUIRED,Inspect actual coil connector/boot arrangement
X23,Rear ignition coil,32477-01A,Verified OEM pigtail if bare housing not proven,2-way sealed service break selected to coil conductor/current,NO,NO,NO,NO,PHYSICAL_ID_REQUIRED,Inspect actual coil connector/boot arrangement
X30,Primary fuel pump,DEVICE TBD,Direct pump connector after device verification,NO DTM on 4.0mm2 pump-current path,NO,NO,NO,NO,DEVICE_SELECTION_GATED,Verify exact pump model current and connector
X31,Secondary fuel pump if fitted,DEVICE TBD,Direct pump connector after device verification,NO DTM on 4.0mm2 pump-current path,NO,NO,NO,NO,DNP_OR_DEVICE_SELECTION_GATED,Verify if fitted
