Record_ID,Injector_Position,Injector_PN,Body_Markings,Connector_ID,Test_Date,Injector_Temp_C,Supply_V,Resistance_Ohm_1,Resistance_Ohm_2,Resistance_Ohm_3,Resistance_Avg_Ohm,Pulse_Width_ms,Pulse_Frequency_Hz,Duty_Cycle_pct,Peak_Current_A,Hold_or_End_Current_A,Current_Rise_A_per_ms,Opening_Inflection_ms,Driver_Type,Driver_Temp_C,Injector_Temp_After_C,Connector_Temp_C,B39_Source_V,B39_Injector_V,B39_Drop_V,Fault_or_Trip,Evidence_File,Result,Notes
IV-001,FRONT,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,TBD,NA,NA,NA,NA,NA,NA,NA,DMM,TBD,TBD,TBD,NA,NA,NA,NONE,TBD,OPEN,Cold resistance
IV-002,REAR,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,TBD,NA,NA,NA,NA,NA,NA,NA,DMM,TBD,TBD,TBD,NA,NA,NA,NONE,TBD,OPEN,Cold resistance
IV-003,FRONT,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,TBD,NA,NA,NA,NA,NA,NA,NA,DMM,TBD,TBD,TBD,NA,NA,NA,NONE,TBD,OPEN,Warm resistance
IV-004,REAR,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,TBD,NA,NA,NA,NA,NA,NA,NA,DMM,TBD,TBD,TBD,NA,NA,NA,NONE,TBD,OPEN,Warm resistance
IV-005,FRONT,TBD,TBD,TBD,TBD,TBD,TBD,NA,NA,NA,NA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,BENCH_DRIVER,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Dynamic waveform
IV-006,REAR,TBD,TBD,TBD,TBD,TBD,TBD,NA,NA,NA,NA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,BENCH_DRIVER,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Dynamic waveform
IV-007,FRONT,TBD,TBD,TBD,TBD,TBD,TBD,NA,NA,NA,NA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,FT550_OR_PNH,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Selected architecture repeated pulse
IV-008,REAR,TBD,TBD,TBD,TBD,TBD,TBD,NA,NA,NA,NA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,FT550_OR_PNH,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Selected architecture repeated pulse
IV-009,BOTH,TBD,TBD,TBD,TBD,TBD,TBD,NA,NA,NA,NA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,SELECTED_ARCHITECTURE,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Simultaneous B39 load
IV-010,BOTH,TBD,TBD,TBD,TBD,TBD,TBD,NA,NA,NA,NA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,SELECTED_ARCHITECTURE,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Cranking supply test
