connector_id,cavity,description,direction,canonical_circuit_id,original_circuit_id,evidence_state,notes
FT550-A,A1,Front Injector Command,OUTPUT,INJ-001,INJ-001,FUNCTION_FROZEN_CAVITY_VERIFY,Front channel
FT550-A,A2,Rear Injector Command,OUTPUT,INJ-002,INJ-002,FUNCTION_FROZEN_CAVITY_VERIFY,Rear channel
FT550-A,A8,SparkPRO CH1 Command,OUTPUT,IGN-001,IGN-001,FUNCTION_FROZEN_CAVITY_VERIFY,Front coil channel
FT550-A,A9,SparkPRO CH2 Command,OUTPUT,IGN-002,IGN-002,FUNCTION_FROZEN_CAVITY_VERIFY,Rear coil channel
FT550-A,A15,CAN-L,BIDIRECTIONAL,CAN-002,CAN-002,PROJECT_FROZEN,Project CAN reference
FT550-A,A16,CAN-H,BIDIRECTIONAL,CAN-001,CAN-001,PROJECT_FROZEN,Project CAN reference
FT550-A,A18,CKP RPM-/Trigger Reference,INPUT,TRG-002,TRG-002,WORKING_CROSS_REFERENCE,Scope/sync verify
FT550-A,A19,CKP RPM+/Trigger Input,INPUT,TRG-001,TRG-001,WORKING_CROSS_REFERENCE,Scope/sync verify
FT550-A,A21,Two-Step Ground-Active Input,INPUT,CTL-002,CTL-001,FUNCTION_FROZEN_CAVITY_VERIFY,Original connector schedule used CTL-001; canonical conductor authority is CTL-002; NO +12V
FT550-A,A22,TPS Signal,INPUT,SEN-003,TBD,WORKING_CROSS_REFERENCE,Verify exact connector manual
FT550-A,A24,Engine Temperature Input,INPUT,SEN-007,TBD,WORKING_CROSS_REFERENCE,Verify exact connector manual
FT550-A,A26,VSS/Speed Input,INPUT,SEN-013,TBD,WORKING_CROSS_REFERENCE,Verify exact connector manual
FT550-B,B5,IAT Input,INPUT,SEN-009,TBD,WORKING_CROSS_REFERENCE,Verify exact connector manual
PMU16,3,Output O11 - Two-Step Relay Command,OUTPUT,CTL-001,CTL-010,VERIFIED_PIN_LATER_PROJECT_OVERRIDE,Physical pin verified; later project freeze assigns O11 to X70
PMU16,4,Output O10 - Logger/Service,OUTPUT,TBD,TBD,VERIFIED_PIN,Reserved service allocation
PMU16,7,+12V Switched PMU Enable,INPUT,TBD,TBD,VERIFIED_PIN,Ignition-switched PMU enable
PMU16,11,Output O6 - Boost Solenoid Supply,OUTPUT,TBD,TBD,VERIFIED_PIN,Boost fails to mechanical minimum when de-energised
PMU16,12,Output O5 - Charge Cooler Pump,OUTPUT,AUX-002,B12,VERIFIED_PIN,If fitted
