Record_ID,Pump_ID,Pump_Manufacturer,Pump_PN,Test_Date,Test_State,Fuel_Type,Fuel_Temp_C,Ambient_C,Target_Pressure_kPa,Boost_Equivalent_kPa,Source_V,Peak_Current_A,Peak_Duration_ms,Steady_Current_A,Min_Pump_V,Steady_Pump_V,Feed_Drop_V,Return_Drop_V,Switch_Drop_V,X30_X31_Drop_V,PMU_Output_Temp_C,Switch_Temp_C,X30_X31_Temp_C,Native_Connector_Temp_C,Feed_Wire_Temp_C,Return_Wire_Temp_C,Protection_Value_or_Config,Trip_or_Fault,Notes,Evidence_File,Result
FPV-001,PUMP-1,TBD,TBD,TBD,COLD_START,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-002,PUMP-1,TBD,TBD,TBD,WARM_START,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-003,PUMP-1,TBD,TBD,TBD,BASE_PRESSURE_STEADY,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-004,PUMP-1,TBD,TBD,TBD,BOOST_PRESSURE_STEADY,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-005,PUMP-1,TBD,TBD,TBD,MAX_PRESSURE_THERMAL_SOAK,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-006,PUMP-1,TBD,TBD,TBD,CRANKING_SIMULTANEOUS_LOAD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-007,PUMP-1,TBD,TBD,TBD,FULL_ELECTRICAL_LOAD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-008,PUMP-2,TBD,TBD,TBD,COLD_START,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-009,PUMP-2,TBD,TBD,TBD,WARM_START,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-010,PUMP-2,TBD,TBD,TBD,BASE_PRESSURE_STEADY,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-011,PUMP-2,TBD,TBD,TBD,BOOST_PRESSURE_STEADY,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-012,PUMP-2,TBD,TBD,TBD,MAX_PRESSURE_THERMAL_SOAK,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-013,PUMP-2,TBD,TBD,TBD,CRANKING_SIMULTANEOUS_LOAD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
FPV-014,PUMP-2,TBD,TBD,TBD,FULL_ELECTRICAL_LOAD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN
