Stage,Check_ID,Objective,Required_Action,Pass_Evidence,State,Technician,Date,Evidence_Reference,Notes
BOM,MAN-001,Core hardware,FT550 PMU16 SparkPRO and exact revisions physically verified,Photos/PN/revision recorded,OPEN,TBD,TBD,TBD,TBD
BOM,MAN-002,Connector set,All used connectors terminals seals and plugs verified,Procurement/physical ID evidence,OPEN,TBD,TBD,TBD,TBD
BOM,MAN-003,Pumps,Pump1/Pump2 exact hardware identified,PN and manufacturer evidence,OPEN,TBD,TBD,TBD,TBD
BOM,MAN-004,Injectors,Exact front/rear injector hardware identified,PN/resistance/source data,OPEN,TBD,TBD,TBD,TBD
BOM,MAN-005,Ignition,Exact coils/SparkPRO hardware verified,PN/revision evidence,OPEN,TBD,TBD,TBD,TBD
LAYOUT,MAN-010,Component locations,FT550 PMU SparkPRO J-P01 J-P02 X50 X51 X70 pumps sensors positions frozen,Photos/datum evidence,OPEN,TBD,TBD,TBD,TBD
LAYOUT,MAN-011,Dimensions,B01-B44 bike measurements complete,Dimensional freeze worksheet,OPEN,TBD,TBD,TBD,TBD
LAYOUT,MAN-012,Movement,Steering and rear movement routes accepted,Movement photos/checks,OPEN,TBD,TBD,TBD,TBD
LAYOUT,MAN-013,Thermal,Turbo/exhaust heat zones and protection accepted,Thermal route evidence,OPEN,TBD,TBD,TBD,TBD
POWER,MAN-020,J-P01/J-P02,Primary positive and ground hardware installed/verified,Mechanical and continuity evidence,OPEN,TBD,TBD,TBD,TBD
POWER,MAN-021,B15,10mm2 baseline PMU feed installed,Route/terminal evidence,OPEN,TBD,TBD,TBD,TBD
POWER,MAN-022,Ground segregation,Precision sensor ground isolated from high-current returns,Continuity/topology check PASS,OPEN,TBD,TBD,TBD,TBD
PMU,MAN-030,PMU pin map,Installed wiring agrees with verified pinout,Point-to-point evidence,OPEN,TBD,TBD,TBD,TBD
PMU,MAN-031,Inputs,A1-A6 polarity/function bench verified,PMU bench record,OPEN,TBD,TBD,TBD,TBD
