Manifest_ID,Race_Release,System,Item,Filename_or_Value,Revision_or_Version,SHA256_or_Value,Source_Application,Source_App_Version,Hardware_PN,Firmware_Version,Validation_Evidence,State,Approved_By,Date,Notes
RCM-001,TVR-FT550-RACE-R01,FT550,Calibration File,TBD,TBD,TBD,FTManager,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-002,TVR-FT550-RACE-R01,PMU16,Configuration File,TBD,TBD,TBD,ECUMASTER PMU software,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-003,TVR-FT550-RACE-R01,SPARKPRO,Hardware/Configuration,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-004,TVR-FT550-RACE-R01,TWO_STEP,Launch Configuration,TBD,TBD,TBD,TBD,TBD,X70/FT550/PMU chain,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-005,TVR-FT550-RACE-R01,BOOST,Boost Strategy/Tables,TBD,TBD,TBD,FTManager,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-006,TVR-FT550-RACE-R01,FUEL,Fuel Type,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-007,TVR-FT550-RACE-R01,FUEL,Base Fuel Pressure,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-008,TVR-FT550-RACE-R01,FUEL,Injector PN/Data,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-009,TVR-FT550-RACE-R01,FUEL,Pump 1/2 PN and Switching,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-010,TVR-FT550-RACE-R01,PROTECTION,B15/B39/B40/Pump/B11/B12 Protection,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-011,TVR-FT550-RACE-R01,SENSORS,Sensor Scaling/Calibration Set,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-012,TVR-FT550-RACE-R01,TURBO,Turbo/Wastegate Hardware,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-013,TVR-FT550-RACE-R01,LOGS,Accepted Dyno Log Set,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-014,TVR-FT550-RACE-R01,LOGS,Accepted Track Log Set,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-015,TVR-FT550-RACE-R01,RELEASE,Race Operating Envelope,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-016,TVR-FT550-RACE-R01,ROLLBACK,Last Known Good Race,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-017,TVR-FT550-RACE-R01,ROLLBACK,Last Known Good Dyno,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-018,TVR-FT550-RACE-R01,ROLLBACK,First Start Baseline,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-019,TVR-FT550-RACE-R01,ROLLBACK,Current Development,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,TBD,TBD,TBD
RCM-020,TVR-FT550-RACE-R01,OVERALL,Final Race Archive Review,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_RELEASED,TBD,TBD,Promote to FINAL_RACE_CONFIGURATION_ARCHIVED only after full review
