Punch_ID,Priority,System,Blocker_or_Task,Required_Evidence,Current_Baseline,Target_State,Dependency,State,Owner,Evidence_Link_or_File,Date_Closed,Notes
PBR-001,P0,HARNESS,Measure B01-B44 on actual motorcycle,Completed dimensional worksheet/photos/datum record,Approximate prototype lengths exist,PHYSICAL_HARNESS_DIMENSIONS_FROZEN,Final component locations,OPEN,TBD,B01-B44-Dimensional-Freeze-Worksheet.csv,TBD,Production lengths must not remain approximate
PBR-002,P0,HARNESS,Confirm component mounting locations,Photos/coordinates/datum notes,Architecture defined,COMPONENT_LOCATIONS_FROZEN,Bike assembly,OPEN,TBD,TBD,TBD,FT550 PMU SparkPRO X70 pumps sensors service connectors
PBR-003,P0,CONNECTORS,Verify unresolved OEM connector housings,Photo/markings/mating-face evidence,Identification registers exist,OEM_CONNECTOR_SET_VERIFIED,Physical hardware,OPEN,TBD,OEM-Connector-Physical-ID-Register.csv,TBD,TBD
PBR-004,P0,CONNECTORS,Verify terminal and seal families,Manufacturer PN/data + physical fit evidence,Procurement schedules exist,TERMINAL_SET_VERIFIED,PBR-003,OPEN,TBD,Connector-Purchasing-BOM.csv,TBD,Confirm conductor-size compatibility
PBR-005,P0,FUEL,Record exact Pump 1 PN,Photo/nameplate/manufacturer data,TBD,FUEL_PUMP_1_IDENTIFIED,Installed/selected pump,OPEN,TBD,Fuel-Pump-Verification-Worksheet.csv,TBD,TBD
PBR-006,P0,FUEL,Record exact Pump 2 PN,Photo/nameplate/manufacturer data,TBD,FUEL_PUMP_2_IDENTIFIED,Installed/selected pump,OPEN,TBD,Fuel-Pump-Verification-Worksheet.csv,TBD,TBD
PBR-007,P0,FUEL,Measure pump current/inrush under representative load,Instrumented current/voltage/pressure evidence,4.0mm2 feed/return baseline,PUMP_LOADS_VERIFIED,PBR-005/PBR-006,OPEN,TBD,Fuel-Pump-Verification-Worksheet.csv,TBD,TBD
PBR-008,P0,FUEL,Freeze pump switching architecture,PMU capability vs measured load decision,Relay decision pending verification,FUEL_PUMP_POWER_ARCHITECTURE_FROZEN,PBR-007,OPEN,TBD,Fuel-Pump-Switching-Decision-Register.csv,TBD,Direct PMU or external power stage based on evidence
PBR-009,P0,INJECTOR,Record exact injector PN,Photo/PN/source,TBD,INJECTORS_IDENTIFIED,Installed/selected injectors,OPEN,TBD,Injector-Electrical-Verification-Worksheet.csv,TBD,TBD
PBR-010,P0,INJECTOR,Verify injector impedance/driver compatibility,Datasheet/measurement/FT550 compatibility evidence,TBD,INJECTOR_ARCHITECTURE_FROZEN,PBR-009,OPEN,TBD,Injector-Driver-Final-Decision.csv,TBD,TBD
PBR-011,P0,IGNITION,Record exact coil PN and SparkPRO revision,Photo/PN/hardware evidence,TBD,IGNITION_HARDWARE_IDENTIFIED,Physical hardware,OPEN,TBD,Coil-SparkPRO-Verification-Worksheet.csv,TBD,TBD
PBR-012,P0,IGNITION,Verify dwell/coil compatibility,Manufacturer/test evidence,TBD,IGNITION_ARCHITECTURE_FROZEN,PBR-011,OPEN,TBD,Coil-Dwell-B40-Final-Decision.csv,TBD,Do not guess dwell
PBR-013,P0,PROTECTION,Complete high-current load campaign,Measured load/current/voltage evidence,Worksheets/procedures exist,HIGH_CURRENT_LOADS_VERIFIED,PBR-007/PBR-010/PBR-012,OPEN,TBD,Electrical-Test-Campaign-Master-Results.csv,TBD,TBD
PBR-014,P0,PROTECTION,Freeze B15/B39/B40/pump/fan protection,Completed coordination decision register,Provisional schedules exist,PROTECTION_COORDINATION_FROZEN,PBR-013,OPEN,TBD,B15-B39-B40-Final-Protection-Decision-Register.csv,TBD,TBD
PBR-015,P1,X70,Confirm production relay/socket/terminal hardware,PN/photo/terminal rating evidence,Relay architecture baseline,X70_HARDWARE_FROZEN,Physical component,OPEN,TBD,X70-Two-Step-Relay-Hardware-Freeze.md,TBD,PCB concept remains superseded unless formally reinstated
PBR-016,P1,CAN,Confirm physical endpoints/termination/service connector,Measurement/photo/CAN resistance/config evidence,Backbone documented,CAN_PHYSICAL_TOPOLOGY_FROZEN,Component locations,OPEN,TBD,CAN-Service-Verification-Register.csv,TBD,TBD
PBR-017,P1,GROUND,Confirm ground studs/rings/routing,Photos/PN/resistance/route evidence,Ground architecture documented,GROUND_HARDWARE_FROZEN,Component locations,OPEN,TBD,TBD,TBD,Preserve segregated current paths
PBR-018,P1,SENSORS,Verify sensor connector/scaling set,PN/connector/calibration evidence,Sensor matrices exist,SENSOR_HARDWARE_SET_FROZEN,Physical sensors,OPEN,TBD,Physical-Device-Connector-Evidence-Register.csv,TBD,TBD
PBR-019,P1,MANUFACTURING,Update production schedules from verified physical evidence,Revised controlled CSV/MD schedules,Current schedules partly provisional,HARNESS_DOCUMENT_SET_FROZEN,PBR-001 through PBR-018,LOCKED,TBD,TBD,TBD,Unlock after physical evidence closure
PBR-020,P1,MANUFACTURING,Generate final manufacturer release ZIP,Generated archive + manifest/hash,Rev2 generator exists,HARNESS_MANUFACTURER_RELEASE_READY,PBR-019,LOCKED,TBD,tools/build_manufacturer_release_rev2.py,TBD,TBD
PBR-021,P1,MANUFACTURING,Manufacturer DFM response reviewed,Completed DFM/RFI/deviation registers,Templates exist,MANUFACTURER_DFM_ACCEPTED,PBR-020,LOCKED,TBD,Harness-Manufacturer-DFM-Response-Register.csv,TBD,TBD
PBR-022,P2,HARNESS,Prototype harness built and serialized,Build traveller/serial record/photos,Not yet physically built,PROTOTYPE_HARNESS_BUILT,PBR-021,LOCKED,TBD,Harness-Serial-Build-Record.csv,TBD,TBD
PBR-023,P2,QUALITY,HP6 pre-cover inspection,Completed HP6 register,Procedure exists,HP6_ACCEPTED,PBR-022,LOCKED,TBD,HP6-Pre-Cover-Inspection-Register.csv,TBD,TBD
PBR-024,P2,QUALITY,HP7 final acceptance,Completed HP7 register,Procedure exists,HP7_ACCEPTED,PBR-023,LOCKED,TBD,HP7-Final-Harness-Acceptance-Register.csv,TBD,TBD
