Field,Value,Status,Notes
Release_ID,,OPEN,Unique revision-controlled release identifier
Release_State,DEVELOPMENT_ONLY,OPEN,Use only approved release-state vocabulary
VIN_or_Chassis_ID,,OPEN,
Engine_Config_Rev,,OPEN,
Turbo_ID,,OPEN,
Wastegate_ID,,OPEN,
Wastegate_Spring_Base,,OPEN,
Boost_Solenoid_ID,,OPEN,
Boost_Plumbing_Rev,,OPEN,
Fuel_Type,,OPEN,
Injector_PN,27772-06,PARTLY_FROZEN,OEM Destroyer injector identity
Injector_Interface_Mode,,OPEN,DIRECT_DRIVE_APPROVED or PEAK_HOLD_INSTALLED
Ignition_Driver,FuelTech SparkPRO-2,FROZEN,
Coil_PN,32477-01A,FROZEN,
FT550_Identity,,OPEN,
FTManager_Calibration_File,,OPEN,
FTManager_Calibration_Hash,,OPEN,
PMU16_Identity,,OPEN,
PMU_Project_File,,OPEN,
PMU_Project_Hash,,OPEN,
Harness_Revision,,OPEN,
Connector_Cavity_Schedule_Revision,,OPEN,
BOM_Revision,,OPEN,
CAN_Map_Revision,,OPEN,
Wheel_Tyre_Config,,OPEN,
Gearing_Config,,OPEN,
Launch_Strategy_Revision,,OPEN,
Shift_Strategy_Revision,,OPEN,
Applicable_Verification_Register_Set,,OPEN,
Pre_Event_Inspection_Status,NOT_RUN,OPEN,
Post_Event_Inspection_Status,NOT_RUN,OPEN,
Open_Blocking_Verifications,,OPEN,
Change_Control_Class,None,OPEN,
Release_Decision,NOT_RELEASED,OPEN,
Approved_By,,OPEN,
Approval_Date,,OPEN,
