Repository_Path,Discipline,Manual_Role,Control_Note
README.md,Project,Project overview,Supporting
ROADMAP.md,Project,Roadmap and milestone context,Supporting
docs/Project-Master-Release-Dashboard.md,Project,Master release status,Controlling status
docs/Project-Master-Completion-Matrix.csv,Project,Milestone completion matrix,Controlling status
docs/Boost-Control/Closed-Loop-Boost-Control-Commissioning.md,Boost,Dyno closed-loop boost procedure,Commissioning
docs/Boost-Control/Closed-Loop-Boost-Control-Test-Matrix.csv,Boost,Closed-loop test matrix,Verification
docs/Boost-Control/Closed-Loop-Boost-Verification-Register.csv,Boost,Closed-loop evidence register,Verification
docs/CAN-Backbone/FT550-PMU16-CAN-Backbone.md,CAN,Physical CAN topology and termination,Controlling architecture
docs/CAN-Backbone/FT550-PMU16-Signal-Dictionary.csv,CAN,Signal dictionary,Verification required for values
docs/CAN-Backbone/FT550-PMU16-Signal-Dictionary.md,CAN,Signal dictionary explanation,Supporting
docs/CAN-Backbone/FTCAN20-PMU-Frame-Map.csv,CAN,FTCAN frame mapping,Implementation evidence
docs/CAN-Backbone/FTCAN20-PMU-Implementation.md,CAN,Application-layer implementation,Implementation
docs/CAN-Backbone/PMU-Client-Receive-Configuration.md,CAN,PMU receive setup,Commissioning
docs/Commissioning/B15-B39-B40-Final-Protection-Decision-Register.csv,Commissioning,Final critical branch protection,Release gate
docs/Commissioning/B15-B39-B40-Protection-Load-Coordination-Pack.md,Commissioning,Protection coordination method,Controlling procedure
docs/Commissioning/Coil-Dwell-B40-Final-Decision.csv,Commissioning,Ignition final decision,Release gate
docs/Commissioning/Coil-SparkPRO-Verification-Pack.md,Commissioning,Ignition electrical verification,Procedure
docs/Commissioning/Coil-SparkPRO-Verification-Worksheet.csv,Commissioning,Ignition test worksheet,Verification
docs/Commissioning/Cooling-Load-Final-Decision.csv,Commissioning,Cooling final decision,Release gate
docs/Commissioning/Cooling-Load-Verification-Pack.md,Commissioning,Cooling load verification,Procedure
docs/Commissioning/Cooling-Load-Verification-Worksheet.csv,Commissioning,Cooling test worksheet,Verification
docs/Commissioning/Dyno-Boost-Stage-Register.csv,Commissioning,Progressive boost stage limits,Commissioning record
docs/Commissioning/Dyno-Load-Commissioning-Boost-Enablement-Pack.md,Commissioning,Progressive dyno and boost procedure,Controlling procedure
docs/Commissioning/Dyno-Load-Commissioning-Release-Checklist.csv,Commissioning,Dyno release checklist,Release gate
docs/Commissioning/Dyno-Loaded-Run-Data-Register.csv,Commissioning,Loaded run data capture,Record
docs/Commissioning/Electrical-Test-Campaign-Closeout.csv,Commissioning,Electrical campaign closeout,Verification
docs/Commissioning/Electrical-Test-Campaign-Master-Results.csv,Commissioning,Electrical measured results,Verification
docs/Commissioning/Electrical-Test-Instrument-Register.csv,Commissioning,Test instrument traceability,Record
docs/Commissioning/Final-Calibration-Release-Race-Configuration-Archive.md,Commissioning,Final configuration archive,Post-dyno control
docs/Commissioning/Final-Race-Configuration-Manifest.csv,Commissioning,Race configuration manifest,Post-dyno control
docs/Commissioning/Final-Race-Operating-Envelope.csv,Commissioning,Released race envelope,Post-dyno control
docs/Commissioning/Final-Race-Release-Checklist.csv,Commissioning,Race release checklist,Post-dyno control
docs/Commissioning/First-Power-Configuration-Evidence-Record.csv,Commissioning,Pre-first-power config identity,Record
docs/Commissioning/First-Power-Dead-Engine-Commissioning-Pack.md,Commissioning,First-power dead-engine sequence,Controlling procedure
docs/Commissioning/First-Power-Dead-Engine-Commissioning-Register.csv,Commissioning,First-power test record,Verification
docs/Commissioning/First-Power-First-Start-Master-Release-Gate.md,Commissioning,First power/start release logic,Release gate
docs/Commissioning/First-Power-First-Start-Verification-Register.csv,Commissioning,First power/start verification,Verification
docs/Commissioning/First-Start-Baseline-Configuration-Record.csv,Commissioning,Initial ECU/PMU baseline,Record
docs/Commissioning/First-Start-GO-NOGO-Checklist.csv,Commissioning,First-start go/no-go,Release gate
docs/Commissioning/First-Start-Initial-Engine-Run-Pack.md,Commissioning,Initial combustion procedure,Controlling procedure
docs/Commissioning/First-Start-Initial-Engine-Run-Register.csv,Commissioning,Initial run record,Verification
docs/Commissioning/First-Start-Initial-Idle-Commissioning.md,Commissioning,Initial idle detail,Supporting procedure
docs/Commissioning/First-Start-Preparation-Gate.md,Commissioning,Preparation gate,Release gate
docs/Commissioning/Fuel-Pump-Switching-Decision-Register.csv,Commissioning,Pump direct/relay decision,Release gate
docs/Commissioning/Fuel-Pump-Verification-Pack.md,Commissioning,Pump electrical test procedure,Controlling procedure
docs/Commissioning/Fuel-Pump-Verification-Worksheet.csv,Commissioning,Pump test worksheet,Verification
docs/Commissioning/Full-Power-Dyno-Verification-Register.csv,Commissioning,Final full-load dyno evidence,Verification
docs/Commissioning/Full-Power-Pull-Final-Dyno-Validation.md,Commissioning,Final full-power dyno procedure,Controlling final dyno procedure
docs/Commissioning/Full-Power-Pull-Test-Matrix.csv,Commissioning,Full-power dyno test matrix,Verification
docs/Commissioning/Harness-Physical-Dimension-Capture-Register.csv,Harness,Physical harness measurements,Verification
docs/Commissioning/Heat-Cycle-Release-Checklist.csv,Commissioning,Heat-cycle release checklist,Release gate
docs/Commissioning/Heat-Cycle-Time-Series-Register.csv,Commissioning,Heat-cycle log,Record
docs/Commissioning/Higher-Load-Dyno-Test-Matrix.csv,Commissioning,Higher-load dyno matrix,Verification
