Interface_ID,Connector_Name,Cavity,Function,Circuit_ID,Direction,Wire_mm2,Wire_ID_or_Colour,Signal_Class,Terminal_PN,Seal_Lock_PN,Source,Destination,Polarity_or_Notes,Evidence_Source,Release_State
FT550-A,FT550 Main Connector,A1,Front Injector Command,INJ-001,OUTPUT,0.50,TBD,LOW_SIDE_COMMAND,TBD,TBD,FT550,X62-FRONT,Blue #1 known function,FT550 interface freeze,FUNCTION_FROZEN_CAVITY_VERIFY
FT550-A,FT550 Main Connector,A2,Rear Injector Command,INJ-002,OUTPUT,0.50,TBD,LOW_SIDE_COMMAND,TBD,TBD,FT550,X62-REAR,Blue #2 known function,FT550 interface freeze,FUNCTION_FROZEN_CAVITY_VERIFY
FT550-A,FT550 Main Connector,A8,SparkPRO CH1 Command,IGN-001,OUTPUT,0.50,TBD,IGNITION_COMMAND,TBD,TBD,FT550,SPARKPRO_CH1,Front coil channel,Ignition architecture freeze,FUNCTION_FROZEN_CAVITY_VERIFY
FT550-A,FT550 Main Connector,A9,SparkPRO CH2 Command,IGN-002,OUTPUT,0.50,TBD,IGNITION_COMMAND,TBD,TBD,FT550,SPARKPRO_CH2,Rear coil channel,Ignition architecture freeze,FUNCTION_FROZEN_CAVITY_VERIFY
FT550-A,FT550 Main Connector,A21,Two-Step Dry Contact Input,CTL-001,INPUT,0.35,TBD,DIGITAL_INPUT,TBD,TBD,X70_DRY_CONTACT,FT550,NO +12V permitted,X70 Two-Step freeze,FUNCTION_FROZEN_CAVITY_VERIFY
PMU16,TBD_PMUMAIN,TBD,Pump1 Output Command/Power,PWR-010,OUTPUT,4.0_OR_0.50_CMD,TBD,HIGH_CURRENT_OR_CONTROL,TBD,TBD,PMU16,X30_OR_EXTERNAL_STAGE,Depends on direct-PMU decision,PMU audit,VERIFY_REQUIRED
PMU16,TBD_PMUMAIN,TBD,Pump2 Output Command/Power,PWR-011,OUTPUT,4.0_OR_0.50_CMD,TBD,HIGH_CURRENT_OR_CONTROL,TBD,TBD,PMU16,X31_OR_EXTERNAL_STAGE,Depends on direct-PMU decision,PMU audit,VERIFY_REQUIRED
PMU16,TBD_PMUMAIN,TBD,Radiator Fan Output,B11,OUTPUT,2.5_BASELINE,TBD,HIGH_CURRENT_OR_CONTROL,TBD,TBD,PMU16,B11_FAN,Final architecture measurement gated,PMU audit,VERIFY_REQUIRED
PMU16,TBD_PMUMAIN,TBD,Charge Cooler Pump Output,B12,OUTPUT,2.0_BASELINE,TBD,HIGH_CURRENT_OR_CONTROL,TBD,TBD,PMU16,B12_PUMP,DNP if not fitted,PMU audit,VERIFY_REQUIRED
PMU16,TBD_PMUMAIN,TBD,Two-Step Relay Command,CTL-010,OUTPUT,0.50,TBD,CONTROL,TBD,TBD,PMU_O11,X70_COIL,O11 function frozen,Two-Step freeze,VERIFY_REQUIRED
X10,CKP OEM Connector,TBD,CKP Signal +/A,TRG-001,INPUT,0.35,TBD,TRIGGER,TBD,TBD,CKP,FT550_OR_INTERFACE,Polarity evidence required,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X10,CKP OEM Connector,TBD,CKP Signal -/B,TRG-002,INPUT,0.35,TBD,TRIGGER,TBD,TBD,CKP,FT550_OR_INTERFACE,Polarity evidence required,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X11,CAM OEM Connector,TBD,CAM Signal/Power/Return,TBD,INPUT,0.35,TBD,TRIGGER_SENSOR,TBD,TBD,CAM,FT550_OR_INTERFACE,Only if fitted/used,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X12,TPS OEM Connector,TBD,TPS 5V,SEN-010,SUPPLY,0.35,TBD,SENSOR_5V,TBD,TBD,FT550_5V,TPS,Verify cavity,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X12,TPS OEM Connector,TBD,TPS Signal,SEN-011,INPUT,0.35,TBD,ANALOG,TBD,TBD,TPS,FT550,Verify cavity,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X12,TPS OEM Connector,TBD,TPS Sensor Ground,SEN-012,RETURN,0.35,TBD,SENSOR_GROUND,TBD,TBD,TPS,FT550_SENSOR_GND,Do not merge with power ground,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X13,MAP OEM Connector,TBD,MAP 5V,SEN-020,SUPPLY,0.35,TBD,SENSOR_5V,TBD,TBD,FT550_5V,MAP,Verify cavity,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X13,MAP OEM Connector,TBD,MAP Signal,SEN-021,INPUT,0.35,TBD,ANALOG,TBD,TBD,MAP,FT550,Verify cavity,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X13,MAP OEM Connector,TBD,MAP Sensor Ground,SEN-022,RETURN,0.35,TBD,SENSOR_GROUND,TBD,TBD,MAP,FT550_SENSOR_GND,Do not merge with power ground,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X14,Engine Temp OEM Connector,TBD,Engine Temp Signal,SEN-030,INPUT,0.35,TBD,ANALOG,TBD,TBD,ENGINE_TEMP,FT550,Exact circuit topology verify,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X15,IAT OEM Connector,TBD,IAT Signal,SEN-040,INPUT,0.35,TBD,ANALOG,TBD,TBD,IAT,FT550,Exact circuit topology verify,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X16,VSS OEM Connector,TBD,VSS Supply/Signal/Return,TBD,INPUT,0.35,TBD,DIGITAL_SENSOR,TBD,TBD,VSS,FT550_OR_INTERFACE,Verify all cavities,OEM connector ID pack,PHYSICAL_ID_REQUIRED
X19,Front Injector OEM Connector,TBD,Injector +12V,B39-FRONT,SUPPLY,1.0_BASELINE,TBD,INJECTOR_POWER,TBD,TBD,B39,FRONT_INJECTOR,Final wire/protection gated,Injector architecture freeze,PHYSICAL_ID_REQUIRED
X19,Front Injector OEM Connector,TBD,Injector Command,INJ-001,OUTPUT,0.50,TBD,INJECTOR_COMMAND,TBD,TBD,X63_FRONT,FRONT_INJECTOR,Front channel,Injector architecture freeze,PHYSICAL_ID_REQUIRED
X20,Rear Injector OEM Connector,TBD,Injector +12V,B39-REAR,SUPPLY,1.0_BASELINE,TBD,INJECTOR_POWER,TBD,TBD,B39,REAR_INJECTOR,Final wire/protection gated,Injector architecture freeze,PHYSICAL_ID_REQUIRED
X20,Rear Injector OEM Connector,TBD,Injector Command,INJ-002,OUTPUT,0.50,TBD,INJECTOR_COMMAND,TBD,TBD,X63_REAR,REAR_INJECTOR,Rear channel,Injector architecture freeze,PHYSICAL_ID_REQUIRED
X21,Front Coil OEM Connector,TBD,Coil/SparkPRO Interface,IGN-011,TBD,1.0,TBD,IGNITION_PRIMARY,TBD,TBD,SPARKPRO,FRONT_COIL,Exact cavity map verify,Ignition architecture freeze,PHYSICAL_ID_REQUIRED
X22,Rear Coil OEM Connector,TBD,Coil/SparkPRO Interface,IGN-012,TBD,1.0,TBD,IGNITION_PRIMARY,TBD,TBD,SPARKPRO,REAR_COIL,Exact cavity map verify,Ignition architecture freeze,PHYSICAL_ID_REQUIRED
X30,Pump1 HDSCS Service Connector,1,Pump1 +12V Feed,PWR-010,OUTPUT,4.0,TBD,HIGH_CURRENT,1241418-4_OR_APPROVED,TBD,PMU_OR_EXT_STAGE,PUMP1_PIGTAIL,4.0mm2 minimum,Fuel pump interface freeze,DFM_PENDING
X30,Pump1 HDSCS Service Connector,2,Pump1 Dedicated Return,PWR-012,RETURN,4.0,TBD,HIGH_CURRENT_RETURN,1241418-4_OR_APPROVED,TBD,PUMP1_PIGTAIL,J-P02,4.0mm2 dedicated return,Fuel pump interface freeze,DFM_PENDING
X31,Pump2 HDSCS Service Connector,1,Pump2 +12V Feed,PWR-011,OUTPUT,4.0,TBD,HIGH_CURRENT,1241418-4_OR_APPROVED,TBD,PMU_OR_EXT_STAGE,PUMP2_PIGTAIL,4.0mm2 minimum,Fuel pump interface freeze,DFM_PENDING
X31,Pump2 HDSCS Service Connector,2,Pump2 Dedicated Return,PWR-013,RETURN,4.0,TBD,HIGH_CURRENT_RETURN,1241418-4_OR_APPROVED,TBD,PUMP2_PIGTAIL,J-P02,4.0mm2 dedicated return,Fuel pump interface freeze,DFM_PENDING
X50,Engineering Service Connector,1,Spare or CAN-H,TBD,TBD,0.35,TBD,SERVICE,TBD,TBD,TBD,TBD,Prefer omit CAN if X51 sufficient,X50 freeze,DFM_PENDING
X50,Engineering Service Connector,2,Spare or CAN-L,TBD,TBD,0.35,TBD,SERVICE,TBD,TBD,TBD,TBD,Must pair with cavity1 if CAN used,X50 freeze,DFM_PENDING
X50,Engineering Service Connector,3,Service Ground,SRV-001,RETURN,0.75,TBD,LOW_CURRENT_GROUND,TBD,TBD,SERVICE_GND,X50,Not high-current return,X50 freeze,DFM_PENDING
X50,Engineering Service Connector,4,Protected Service +12V,SRV-002,SUPPLY,0.75,TBD,PROTECTED_POWER,TBD,TBD,PROTECTED_SERVICE_12V,X50,DNP if unused,X50 freeze,DFM_PENDING
X51,CAN Service Connector,1,CAN-H,CAN-001,BIDIRECTIONAL,0.35,TBD,CAN,TBD,TBD,CAN_BACKBONE,X51,No hidden termination,CAN service freeze,FUNCTION_FROZEN_PN_PENDING
X51,CAN Service Connector,2,CAN-L,CAN-002,BIDIRECTIONAL,0.35,TBD,CAN,TBD,TBD,CAN_BACKBONE,X51,No hidden termination,CAN service freeze,FUNCTION_FROZEN_PN_PENDING
X51,CAN Service Connector,3,Service Ground,CAN-003,RETURN,0.75,TBD,LOW_CURRENT_GROUND,TBD,TBD,SERVICE_GND,X51,Diagnostic/reference only,CAN service freeze,FUNCTION_FROZEN_PN_PENDING
X51,CAN Service Connector,4,Protected Service +12V or DNP,CAN-004,SUPPLY,0.75,TBD,PROTECTED_POWER,TBD,TBD,PROTECTED_SERVICE_12V,X51,DNP if unused,CAN service freeze,FUNCTION_FROZEN_PN_PENDING
X62,Injector Driver Inlet Service Connector,1,Front Injector Command In,INJ-001,INPUT,0.50,TBD,INJECTOR_COMMAND,TBD,TBD,FT550_A1,X62,Front only,Injector architecture freeze,FUNCTION_FROZEN_PN_PENDING
X62,Injector Driver Inlet Service Connector,2,Rear Injector Command In,INJ-002,INPUT,0.50,TBD,INJECTOR_COMMAND,TBD,TBD,FT550_A2,X62,Rear only,Injector architecture freeze,FUNCTION_FROZEN_PN_PENDING
X63,Injector Driver Outlet Service Connector,1,Front Injector Command Out,INJ-001,OUTPUT,0.50,TBD,INJECTOR_COMMAND,TBD,TBD,X62_OR_PNH,X19,Front only,Injector architecture freeze,FUNCTION_FROZEN_PN_PENDING
X63,Injector Driver Outlet Service Connector,2,Rear Injector Command Out,INJ-002,OUTPUT,0.50,TBD,INJECTOR_COMMAND,TBD,TBD,X62_OR_PNH,X20,Rear only,Injector architecture freeze,FUNCTION_FROZEN_PN_PENDING
X70,Two-Step Relay Socket,85_OR_COIL_A,PMU O11 Coil Command,CTL-010,INPUT,0.50,TBD,RELAY_COIL,TBD,TBD,PMU_O11,X70_COIL,Exact socket cavity verify,X70 freeze,DFM_PENDING
X70,Two-Step Relay Socket,86_OR_COIL_B,Relay Coil Return,CTL-011,RETURN,0.50,TBD,RELAY_COIL_RETURN,TBD,TBD,X70_COIL,GROUND_OR_RELEASED_RETURN,Exact architecture verify,X70 freeze,DFM_PENDING
X70,Two-Step Relay Socket,30_OR_COM,Dry Contact Common,CTL-012,CONTACT,0.35,TBD,DRY_CONTACT,TBD,TBD,GROUND_REF,X70_CONTACT,No +12V,X70 freeze,DFM_PENDING
X70,Two-Step Relay Socket,87_OR_NO,Dry Contact NO to FT550 A21,CTL-001,CONTACT,0.35,TBD,DRY_CONTACT,TBD,TBD,X70_CONTACT,FT550_A21,No +12V,X70 freeze,DFM_PENDING
