Branch_ID,Start_Datum,End_Datum,Measured_Routed_mm,Service_Loop_mm,Movement_Allowance_mm,Heat_Zone,Heat_Protection,Final_Production_mm,Photo_IDs,Measured_By,Date,Status,Notes
B01,,,,,,,,,,,TBD,OPEN,
B02,,,,,,,,,,,TBD,OPEN,
B03,,,,,,,,,,,TBD,OPEN,
B04,,,,,,,,,,,TBD,OPEN,
B05,,,,,,,,,,,TBD,OPEN,
B06,,,,,,,,,,,TBD,OPEN,
B07,,,,,,,,,,,TBD,OPEN,
B08,,,,,,,,,,,TBD,OPEN,
B09,,,,,,,,,,,TBD,OPEN,
B10,,,,,,,,,,,TBD,OPEN,
B11,,,,,,,,,,,TBD,OPEN,
B12,,,,,,,,,,,TBD,OPEN,
B13,,,,,,,,,,,TBD,OPEN,
B14,,,,,,,,,,,TBD,OPEN,
B15,,,,,,,,,,,TBD,OPEN,
B16,,,,,,,,,,,TBD,OPEN,
B17,,,,,,,,,,,TBD,OPEN,
B18,,,,,,,,,,,TBD,OPEN,
B19,,,,,,,,,,,TBD,OPEN,
B20,,,,,,,,,,,TBD,OPEN,
B21,,,,,,,,,,,TBD,OPEN,
B22,,,,,,,,,,,TBD,OPEN,
B23,,,,,,,,,,,TBD,OPEN,
B24,,,,,,,,,,,TBD,OPEN,
B25,,,,,,,,,,,TBD,OPEN,
B26,,,,,,,,,,,TBD,OPEN,
B27,,,,,,,,,,,TBD,OPEN,
B28,,,,,,,,,,,TBD,OPEN,
B29,,,,,,,,,,,TBD,OPEN,
B30,,,,,,,,,,,TBD,OPEN,
B31,,,,,,,,,,,TBD,OPEN,
B32,,,,,,,,,,,TBD,OPEN,
B33,,,,,,,,,,,TBD,OPEN,
B34,,,,,,,,,,,TBD,OPEN,
B35,,,,,,,,,,,TBD,OPEN,
B36,,,,,,,,,,,TBD,OPEN,
B37,,,,,,,,,,,TBD,OPEN,
B38,,,,,,,,,,,TBD,OPEN,
B39,,,,,,,,,,,TBD,OPEN,
B40,,,,,,,,,,,TBD,OPEN,
B41,,,,,,,,,,,TBD,OPEN,
B42,,,,,,,,,,,TBD,OPEN,
B43,,,,,,,,,,,TBD,OPEN,
B44,,,,,,,,,,,TBD,OPEN,
