Protection_ID,Branch_ID,System,Function,Source,Destination,Wire_mm2,Continuous_Load_A,Transient_or_Inrush_A,Protection_Type,Protection_Value_or_Limit_A,Time_Delay_or_Profile,PMU_HW,PMU_Channel,PMU_Direct_or_Command,Upstream_Protection,Downstream_Protection,Terminal_Connector_Capability,Coordination_Result,Evidence,Release_State,Notes
PROT-001,B15,PRIMARY_POWER,PMU16 main feed,BATTERY_JP01,PMU16_MAIN,10.0,TBD,TBD,FUSE_OR_BREAKER,TBD,TBD,TBD,NA,DIRECT,MASTER_PROTECTION,PMU_OUTPUT_PROTECTION,TBD,TBD,B15 load cases/primary power verification,PROTECTION_VALUE_PENDING,Final value load-model gated
PROT-002,PUMP1,FUEL_PUMP,Pump 1 power,PMU_OR_EXTERNAL_STAGE,PUMP1,4.0_MIN,TBD,TBD,PMU_LIMIT_OR_FUSE,TBD,TBD,TBD,TBD,TBD,B15_OR_SOURCE_PROTECTION,LOCAL_BRANCH_PROTECTION,TBD,TBD,Fuel pump verification/switching decision,PROTECTION_VALUE_PENDING,4.0mm2 minimum retained
PROT-003,PUMP2,FUEL_PUMP,Pump 2 power,PMU_OR_EXTERNAL_STAGE,PUMP2,4.0_MIN,TBD,TBD,PMU_LIMIT_OR_FUSE,TBD,TBD,TBD,TBD,TBD,B15_OR_SOURCE_PROTECTION,LOCAL_BRANCH_PROTECTION,TBD,TBD,Fuel pump verification/switching decision,PROTECTION_VALUE_PENDING,4.0mm2 minimum retained
PROT-004,B11,COOLING,Radiator fan,PMU_OR_EXTERNAL_STAGE,RADIATOR_FAN,2.5_BASELINE,TBD,TBD,PMU_LIMIT_OR_FUSE,TBD,TBD,TBD,TBD,TBD,B15_OR_SOURCE_PROTECTION,LOCAL_BRANCH_PROTECTION,TBD,TBD,Cooling load verification,PROTECTION_VALUE_PENDING,Final architecture evidence-gated
PROT-005,B12,COOLING,Charge-cooler pump,PMU_OR_EXTERNAL_STAGE,CHARGE_COOLER_PUMP,2.0_BASELINE,TBD,TBD,PMU_LIMIT_OR_FUSE,TBD,TBD,TBD,TBD,TBD,B15_OR_SOURCE_PROTECTION,LOCAL_BRANCH_PROTECTION,TBD,TBD,Cooling load verification,PROTECTION_VALUE_PENDING,DNP if not fitted
PROT-006,B39,EPM_POWER,Injector supply,JP01_OR_EPM_DISTRIBUTION,INJECTORS,1.0_BASELINE,TBD,TBD,FUSE_OR_PMU_LIMIT,TBD,TBD,TBD,TBD,TBD,B15_OR_EPM_UPSTREAM,NONE,TBD,TBD,Injector verification/B39 final decision,PROTECTION_VALUE_PENDING,Independent from B40
PROT-007,B40,EPM_POWER,SparkPRO ignition supply,JP01_OR_EPM_DISTRIBUTION,SPARKPRO,1.5_BASELINE,TBD,TBD,FUSE_OR_PMU_LIMIT,TBD,TBD,TBD,TBD,TBD,B15_OR_EPM_UPSTREAM,NONE,TBD,TBD,Coil SparkPRO verification/B40 final decision,PROTECTION_VALUE_PENDING,Independent from B39
PROT-008,X50_SVC,SERVICE,Optional protected service 12V,SERVICE_POWER_SOURCE,X50_SERVICE_12V,0.75,TBD,TBD,FUSE_OR_CURRENT_LIMIT,TBD,TBD,TBD,NA,DIRECT,UPSTREAM_SERVICE_PROTECTION,NONE,TBD,TBD,X50 service interface release,PROTECTION_VALUE_PENDING,DNP if unused; no backfeed
PROT-009,X51_SVC,SERVICE,Optional protected CAN service 12V,SERVICE_POWER_SOURCE,X51_SERVICE_12V,0.75,TBD,TBD,FUSE_OR_CURRENT_LIMIT,TBD,TBD,TBD,NA,DIRECT,UPSTREAM_SERVICE_PROTECTION,NONE,TBD,TBD,CAN service interface release,PROTECTION_VALUE_PENDING,DNP if unused; no backfeed
PROT-010,X70_COIL,TWO_STEP,Two-Step relay coil,PMU_O11,X70_RELAY_COIL,TBD,TBD,TBD,PMU_CURRENT_LIMIT,TBD,TBD,TBD,O11,DIRECT,B15_OR_PMU_UPSTREAM,NONE,TBD,TBD,X70 bench verification,PROTECTION_VALUE_PENDING,A21 contact side remains isolated from +12V
PROT-011,FT550_SUPPLY,ECU,FT550 ECU supply,JP01_OR_RELEASED_ECU_FEED,FT550,TBD,TBD,TBD,FUSE_OR_PMU_LIMIT,TBD,TBD,TBD,TBD,TBD,B15_OR_SOURCE_PROTECTION,NONE,TBD,TBD,FT550 power architecture evidence,PROTECTION_VALUE_PENDING,Final source/protection to match released architecture
PROT-012,SPARE_AUX_1,EXPANSION,Reserved auxiliary branch,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,PROTECTION_VALUE_PENDING,DNP until released
