Record_ID,Branch_ID,Device,Manufacturer,Device_PN,Test_Date,Test_State,Ambient_C,Device_Temp_C,Source_V,Peak_Current_A,Peak_Duration_ms,Steady_Current_A,Min_Device_V,Steady_Device_V,Feed_Drop_V,Return_Drop_V,Switch_Drop_V,PMU_Output,PMU_HW_Version,PMU_Output_Temp_C,Switch_Temp_C,Connector_Temp_C,Feed_Wire_Temp_C,Return_Wire_Temp_C,Protection_Config,Trip_or_Fault,Evidence_File,Result,Notes
CLV-001,B11,Radiator_Fan,TBD,TBD,TBD,COLD_START,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,O3/TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,
CLV-002,B11,Radiator_Fan,TBD,TBD,TBD,HOT_RESTART,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,O3/TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,
CLV-003,B11,Radiator_Fan,TBD,TBD,TBD,CONTINUOUS_RUN,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,O3/TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,
CLV-004,B11,Radiator_Fan,TBD,TBD,TBD,THERMAL_SOAK,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,O3/TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,
CLV-005,B11,Radiator_Fan,TBD,TBD,TBD,SIMULTANEOUS_LOAD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,O3/TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,
CLV-006,B12,Charge_Cooler_Pump,TBD,TBD,TBD,COLD_START,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,O5/TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN_OR_DNP,
CLV-007,B12,Charge_Cooler_Pump,TBD,TBD,TBD,WARM_RESTART,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,O5/TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN_OR_DNP,
CLV-008,B12,Charge_Cooler_Pump,TBD,TBD,TBD,CONTINUOUS_RUN,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,O5/TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN_OR_DNP,
CLV-009,B12,Charge_Cooler_Pump,TBD,TBD,TBD,THERMAL_SOAK,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,O5/TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN_OR_DNP,
CLV-010,B12,Charge_Cooler_Pump,TBD,TBD,TBD,SIMULTANEOUS_LOAD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,O5/TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN_OR_DNP,
