RFQ_ID,Assembly,Scope,Quote_Required,Manufacturer_Response
RFQ-001,H01 Main ECU / Engine Harness,FT550 to retained OEM engine sensors and engine interfaces including CKP/TPS/MAP/ECT/IAT,YES,
RFQ-002,H02 PMU / Power Harness,PMU16 main feed grounds hardwired inputs and controlled-output branches,YES,
RFQ-003,H03 EPM Ignition / Injector Harness,SparkPRO-2 coils injectors and selected injector-driver architecture,YES,
RFQ-004,H04 Sensor / Turbo Harness,Oil pressure fuel pressure post-intercooler IAT and approved auxiliary instrumentation,YES,
RFQ-005,H05 CAN / Service Harness,FT550-PMU twisted CAN backbone plus X51 service break,YES,
RFQ-006,H06 Two-Step / Clutch Harness,OEM clutch-switch service break PMU A6 PMU O11 sealed relay interface FT550 A21 and optional A7 provision,YES,
RFQ-007,H07 Boost-Control Harness,PMU O6 to boost-control solenoid with service connector,YES,
RFQ-008,Complete Harness Set,H01-H07 supplied as one matched serialised set,YES,
RFQ-009,X70 Relay Sub-Harness,Sealed replaceable SPST-NO relay implementation converting PMU O11 high-side command to dry-contact ground for FT550 A21,YES,
RFQ-010,Materials,State wire series DR25/loom covering boots heatshrink splice method and connector families proposed,YES,
RFQ-011,Tooling,Confirm calibrated tooling for FuelTech ECUMASTER Deutsch OEM and other selected terminals,YES,
RFQ-012,Electrical Test,100 percent continuity short-to-adjacent isolation polarity and connector-cavity verification report,YES,
RFQ-013,Documentation,As-built branch dimensions BOM deviations photographs and serialised build record,YES,
RFQ-014,Prototype Lead Time,Lead time for first Rev 1 prototype set,YES,
RFQ-015,Repeat Build Lead Time,Lead time and MOQ for identical repeat harness after prototype approval,YES,
RFQ-016,Prototype NRE,One-off engineering/tooling/NRE charge separated from harness manufacture,YES,
RFQ-017,Repeat Unit Price,Price for one repeat harness set using frozen Rev 1 build data,YES,
RFQ-018,Small Batch Pricing,Price breaks for 2 5 and 10 identical sets if offered,YES,
RFQ-019,Repair Support,State repair/rework/connector replacement capability and typical turnaround,YES,
RFQ-020,Warranty,State workmanship warranty and exclusions,YES,
