Field,Required_Value,As_Built_Value,Status
Project,Turbo V-Rod FuelTech 550 / PMU16,,
Harness_Set_Revision,Released revision,,
Harness_Set_Serial,Unique serial,,
Manufacturer,Legal/trading name,,
Manufacture_Date,YYYY-MM-DD,,
Technician,Builder/inspector identifier,,
H01_Serial,Main ECU/Engine harness serial,,
H02_Serial,PMU/Power harness serial,,
H03_Serial,EPM ignition/injector harness serial,,
H04_Serial,Sensor/Turbo harness serial,,
H05_Serial,CAN/Service harness serial,,
H06_Serial,Two-Step/Clutch harness serial,,
H07_Serial,Boost-Control harness serial,,
Wire_Series,Manufacturer and exact series,,
Loom_Covering,Manufacturer and exact series,,
Heat_Shrink,Manufacturer and exact series,,
Splice_Method,Exact approved process/components,,
CAN_Wire,Exact twisted-pair product/specification,,
CKP_Shielded_Wire,Exact product/specification,,
X70_Relay,Manufacturer and part number,,
X70_Suppression,Type and part number,,
X71_Service_Break,Housing/contact part numbers,,
X51_CAN_Service,Housing/contact part numbers,,
PMU_Terminals,Part numbers by wire range,,
FT550_Terminals,Part numbers/source,,
SparkPRO_Connector,Part numbers/source,,
Injector_Architecture,DIRECT_DRIVE_APPROVED or PEAK_HOLD_INSTALLED,,
Peak_Hold_Module,Exact model if fitted,,
Branch_Dimensions_Record,Attached filename/reference,,
Continuity_Report,Attached filename/reference,,
Isolation_Report,Attached filename/reference,,
Crimp_Tooling_Record,Attached filename/reference,,
Pre_Cover_Photos,Attached filename/reference,,
Final_Photos,Attached filename/reference,,
Deviation_Log,Attached filename/reference or NONE,,
Manufacturer_QA_Signoff,Name/date,,
Engineering_Acceptance,Name/date,,
Release_State,HARNESS_NOT_ACCEPTED,,
