connection_id,harness_id,function,from_endpoint,from_cavity,to_endpoint,to_cavity,wire_type_id,branch_id,splice_or_intermediate,release_state,notes
PWR-001,H-PWR,B15 PMU main feed,J-P01,TBD,PMU16,STUD,W1000,B15,,BASELINE_FROZEN_EVIDENCE_GATED,10.0mm2 baseline; protection value pending
PWR-002,H-PUMP1,Pump 1 positive,PMU16_O1_OR_EXTERNAL_STAGE,TBD,X30,1,W400,B10,,FROZEN,4.0mm2 minimum; switching architecture measurement gated
GND-001,H-PUMP1,Pump 1 dedicated return,X30,2,J-P02,TBD,W400,B10R,,FROZEN,Dedicated 4.0mm2 return
PWR-003,H-PUMP2,Pump 2 positive,PMU16_O2_OR_EXTERNAL_STAGE,TBD,X31,1,W400,PUMP2_FEED,,FROZEN,4.0mm2 minimum; DNP if Pump2 omitted
GND-002,H-PUMP2,Pump 2 dedicated return,X31,2,J-P02,TBD,W400,PUMP2_RETURN,,FROZEN,Dedicated 4.0mm2 return
AUX-001,H-MAIN,B11 radiator fan positive,PMU16_O3_OR_EXTERNAL_STAGE,TBD,B11-FAN,TBD,W250,B11,,BASELINE_FROZEN_EVIDENCE_GATED,Final current/protection measurement gated
GND-003,H-MAIN,B11 radiator fan return,B11-FAN,TBD,J-P02,TBD,W250,B11,,BASELINE_FROZEN_EVIDENCE_GATED,Final route/current gated
AUX-002,H-MAIN,B12 charge cooler pump positive,PMU_OR_EXTERNAL_STAGE,TBD,B12-PUMP,TBD,W200,B12,,BASELINE_FROZEN_EVIDENCE_GATED,DNP if not fitted
GND-004,H-MAIN,B12 charge cooler pump return,B12-PUMP,TBD,J-P02,TBD,W200,B12,,BASELINE_FROZEN_EVIDENCE_GATED,DNP if not fitted
EPM-001,H-INJ,B39 injector protected supply,J-P01_OR_EPM_DISTRIBUTION,TBD,S-PWR-01,TBD,W100,B39,S-PWR-01,BASELINE_FROZEN_EVIDENCE_GATED,Independent of B40; reevaluate if Peak & Hold selected
INJ-001,H-INJ,Front injector command,FT550-A,A1,X62,1,W050,B35,,FROZEN,Front channel
INJ-002,H-INJ,Rear injector command,FT550-A,A2,X62,2,W050,B35,,FROZEN,Rear channel
INJ-003,H-INJ,Front injector driver output,X62_OR_PNH,TBD,X63,1,W050,B36_OR_B38,DRIVER_BAY,EVIDENCE_GATED,Direct vs Peak & Hold pending
INJ-004,H-INJ,Rear injector driver output,X62_OR_PNH,TBD,X63,2,W050,B36_OR_B38,DRIVER_BAY,EVIDENCE_GATED,Direct vs Peak & Hold pending
EPM-002,H-IGN,B40 SparkPRO protected supply,J-P01_OR_EPM_DISTRIBUTION,TBD,SPARKPRO,TBD,W150,B40,S-PWR-02,BASELINE_FROZEN_EVIDENCE_GATED,Independent of B39; final protection after dwell/current evidence
IGN-001,H-IGN,FT550 front ignition command,FT550-A,A8,SPARKPRO,1,W050,B32,,FROZEN,Channel 1 front
IGN-002,H-IGN,FT550 rear ignition command,FT550-A,A9,SPARKPRO,3,W050,B32,,FROZEN,Channel 2 rear
