X50_Cavity,Proposed_Function,Circuit_ID,Signal_Class,Wire_mm2,Contact_Class,Required,Final_Function,Terminal_PN,Housing_PN,Seal_or_Plug_PN,Protection,Backfeed_Check,Continuity_Check,Isolation_Check,Final_State,Notes
1,SPARE_OR_CAN_H,TBD,CAN_OR_SPARE,0.35,SIZE20,NO,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,DFM_PENDING,Prefer omit CAN if X51 alone provides service access
2,SPARE_OR_CAN_L,TBD,CAN_OR_SPARE,0.35,SIZE20,NO,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,DFM_PENDING,Must pair with cavity 1 if CAN used
3,SERVICE_GROUND,TBD,LOW_CURRENT_GROUND,0.75,SIZE16_OR_VERIFIED_SIZE20,CONDITIONAL,TBD,TBD,TBD,TBD,NA,NA,TBD,TBD,DFM_PENDING,Not a high-current return
4,SERVICE_12V,TBD,PROTECTED_POWER,0.75,SIZE16_OR_VERIFIED_SIZE20,CONDITIONAL,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,DFM_PENDING,DNP if no powered service accessory
5,SPARE_DIGITAL_INPUT,TBD,DIGITAL_SIGNAL,0.35,SIZE20,NO,TBD,TBD,TBD,TBD,NA,NA,TBD,TBD,DFM_PENDING,Future engineering use
6,SPARE_DIGITAL_OUTPUT,TBD,CONTROL_SIGNAL,0.50,SIZE20_OR_SIZE16,NO,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,DFM_PENDING,Low-current command only
7,SPARE_ANALOG_INPUT,TBD,ANALOG_SIGNAL,0.35,SIZE20,NO,TBD,TBD,TBD,TBD,NA,NA,TBD,TBD,DFM_PENDING,Keep away from service 12V in final cavity layout where practical
8,LOGGER_ENGINEERING_ENABLE,TBD,DIGITAL_SIGNAL,0.35,SIZE20,NO,TBD,TBD,TBD,TBD,NA,NA,TBD,TBD,DFM_PENDING,Only populate if required
9,FUTURE_SENSOR_SIGNAL,TBD,ANALOG_OR_DIGITAL,0.35,SIZE20,NO,TBD,TBD,TBD,TBD,NA,NA,TBD,TBD,DFM_PENDING,SPARE/DNP unless released
10,FUTURE_SENSOR_REFERENCE,TBD,PRECISION_REFERENCE,0.35,SIZE20,NO,TBD,TBD,TBD,TBD,NA,NA,TBD,TBD,DFM_PENDING,Do not merge with power ground
11,SPARE,TBD,SPARE,TBD,TBD,NO,TBD,TBD,TBD,TBD,NA,NA,TBD,TBD,DFM_PENDING,Seal if unused
12,SPARE,TBD,SPARE,TBD,TBD,NO,TBD,TBD,TBD,TBD,NA,NA,TBD,TBD,DFM_PENDING,Seal if unused
