Evidence_ID,Area,Required_Evidence,Blocks_Release,Status,Result_or_Reference
HC-001,Primary fuel pump,Steady current + inrush + route length + connector identification,YES,PENDING,
HC-002,Secondary fuel pump,Steady current + inrush + route length + connector identification,IF FITTED,PENDING,
HC-003,Radiator fan 1,Steady current + inrush + route length + connector identification,YES,PENDING,
HC-004,Radiator fan 2,Steady current + inrush + route length + connector identification,IF FITTED,PENDING,
HC-005,Charge/intercooler pump,Steady current + inrush + route length + connector identification,IF FITTED,PENDING,
HC-006,Boost-control solenoid,Coil resistance/current + connector + control topology,YES,PENDING,
HC-007,Logger/service feed,Total connected steady current + route length,NO,PENDING,
HC-008,Front injector,Resistance + current waveform + connector + driver compatibility,YES,OEM FLOW SPEC VERIFIED,"Harley 27772-06; OEM calibration 6.37 g/s and 30% over OE; electrical characterisation still required"
HC-009,Rear injector,Resistance + current waveform + connector + driver compatibility,YES,OEM FLOW SPEC VERIFIED,"Harley 27772-06; OEM calibration 6.37 g/s and 30% over OE; electrical characterisation still required"
HC-010,Front ignition coil,Connector + driver type + current/dwell waveform as required,YES,PART NUMBER VERIFIED,"Harley 32477-01A; electrical characterisation still required"
HC-011,Rear ignition coil,Connector + driver type + current/dwell waveform as required,YES,PART NUMBER VERIFIED,"Harley 32477-01A; electrical characterisation still required"
CC-001,Front injector connector,Family + terminals + seals + cavity functions,YES,PART NUMBER VERIFIED,"Injector 27772-06; connector family still required"
CC-002,Rear injector connector,Family + terminals + seals + cavity functions,YES,PART NUMBER VERIFIED,"Injector 27772-06; connector family still required"
CC-003,Front coil connector,Family + terminals + seals + cavity functions,YES,PART NUMBER VERIFIED,"Coil 32477-01A; connector family still required"
CC-004,Rear coil connector,Family + terminals + seals + cavity functions,YES,PART NUMBER VERIFIED,"Coil 32477-01A; connector family still required"
RS-001,Injector electrical public-source research,OEM impedance/current classification from authoritative source,NO,PARTIAL OEM SPEC CLOSED,"OEM flow frozen at 6.37 g/s and +30%; no authoritative public impedance/current data found; see OEM-Specs-Freeze.md"
RS-002,Coil electrical public-source research,OEM primary resistance/driver topology from authoritative source,NO,SEARCH COMPLETE,"No authoritative public driver data found; aftermarket 3-ohm replacement claim retained as comparison only"
RS-003,OEM injector flow specification,Harley manufacturer flow/calibration value,NO,RESOLVED,"27772-06 via kit 27791-05; 6.37 g/s calibration; 30% more fuel than OE per Harley J03889/J03928"
