Record_ID,Coil_Position,Coil_PN,Body_Markings,Connector_ID,Test_Date,Coil_Temp_C,Supply_V,Primary_R_Ohm_1,Primary_R_Ohm_2,Primary_R_Ohm_3,Primary_R_Avg_Ohm,Dwell_ms,Peak_Primary_Current_A,Current_Rise_A_per_ms,Saturation_Observed,SparkPRO_Channel,SparkPRO_Temp_C,Coil_Temp_After_C,B40_Source_V,B40_Coil_V,B40_Drop_V,Connector_Temp_C,Protection_Config,Fault_or_Trip,CKP_Sync_OK,CAN_OK,Evidence_File,Result,Notes
CSV-001,FRONT,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,TBD,NA,NA,NA,NA,CH1,TBD,TBD,NA,NA,NA,TBD,TBD,NONE,NA,NA,TBD,OPEN,Cold primary resistance
CSV-002,REAR,TBD,TBD,TBD,TBD,TBD,NA,TBD,TBD,TBD,TBD,NA,NA,NA,NA,CH2,TBD,TBD,NA,NA,NA,TBD,TBD,NONE,NA,NA,TBD,OPEN,Cold primary resistance
CSV-003,FRONT,TBD,TBD,TBD,TBD,TBD,TBD,NA,NA,NA,NA,TBD,TBD,TBD,TBD,CH1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Controlled dwell sweep
CSV-004,REAR,TBD,TBD,TBD,TBD,TBD,TBD,NA,NA,NA,NA,TBD,TBD,TBD,TBD,CH2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Controlled dwell sweep
CSV-005,FRONT,TBD,TBD,TBD,TBD,TBD,CRANK_V,NA,NA,NA,NA,TBD,TBD,TBD,TBD,CH1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Cranking-voltage test
CSV-006,REAR,TBD,TBD,TBD,TBD,TBD,CRANK_V,NA,NA,NA,NA,TBD,TBD,TBD,TBD,CH2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Cranking-voltage test
CSV-007,FRONT,TBD,TBD,TBD,TBD,TBD,NOMINAL_RUN_V,NA,NA,NA,NA,TBD,TBD,TBD,TBD,CH1,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Nominal-running test
CSV-008,REAR,TBD,TBD,TBD,TBD,TBD,NOMINAL_RUN_V,NA,NA,NA,NA,TBD,TBD,TBD,TBD,CH2,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Nominal-running test
CSV-009,BOTH,TBD,TBD,TBD,TBD,TBD,CHARGE_HIGH_V,NA,NA,NA,NA,TBD,TBD,TBD,TBD,BOTH,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Charging upper-voltage test
CSV-010,BOTH,TBD,TBD,TBD,TBD,TBD,TBD,NA,NA,NA,NA,TBD,TBD,TBD,TBD,BOTH,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,OPEN,Thermal soak / simultaneous load
